test_id,raw_label_schedule_timestamp_hits,measurement_utc_start,measurement_utc_end,schedule_utc_start,schedule_utc_end,schedule_interval_count,usable_interval_count,coverage_share,min_sample_count_usable,p50_sample_count_all
1,0,2023-08-14 10:00:00+00:00,2023-08-17 10:00:00+00:00,2022-10-04 23:00:00+00:00,2022-10-07 22:45:00+00:00,288,0,0.0,0,0.0
2,288,2024-05-28 10:00:00+00:00,2024-05-31 10:00:00+00:00,2024-05-28 11:00:00+00:00,2024-05-31 10:45:00+00:00,288,284,0.9861111111111112,900,900.0
