,verdict,usable_test_count,min_required_usable_test_count,min_required_coverage_share,reason,active_interval_count,charge_interval_count,discharge_interval_count,requested_energy_kwh_abs,shortfall_energy_kwh,steady_shortfall_energy_kwh,abs_tracking_error_energy_kwh,equivalent_shortfall_ratio,steady_equivalent_shortfall_ratio,equivalent_abs_error_ratio,mae_kw,steady_mae_kw,p50_abs_error_kw,p90_abs_error_kw,p95_abs_error_kw,p50_shortfall_kw,p90_shortfall_kw,p95_shortfall_kw,charge_equivalent_shortfall_ratio,discharge_equivalent_shortfall_ratio,large_shortfall_interval_share,max_consecutive_large_shortfall_intervals,top5_abs_error_share
0,PASS,1.0,1.0,0.95,timezone-normalized alignment usable,,,,,,,,,,,,,,,,,,,,,,,
1,STRONG_A1B,,,,active 15min equivalent tracking shortfall >=20%,96.0,62.0,34.0,34505.46544103502,24014.292833419015,22287.490156497428,27911.005503580796,0.6959562065451937,0.645911882990931,0.8088865096248817,1162.9585626491998,1160.7194474814462,928.0743166609006,2436.142570812927,2518.276944444445,291.40652536672815,2436.067570812927,2518.276944444445,0.6472813538402863,0.7532107982204668,0.6041666666666666,8.0,0.1603794536748984
