sessionID,site,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,n_userInputs,kWhRequested_last,requestedDeparture_last,minutesAvailable_last,modifiedAt_last,kWhRequested_first,t_slack_h,connection_age_min,reported_remaining_min,reported_minutes_available,requested_kwh,reported_need_min,split
2_39_138_29_2019-02-01 16:28:59.233366,caltech,"Fri, 01 Feb 2019 16:28:59 GMT","Sat, 02 Feb 2019 01:35:02 GMT","Fri, 01 Feb 2019 18:31:28 GMT",6.583,1,9.39,"Sat, 02 Feb 2019 01:11:59 GMT",523.0,"Fri, 01 Feb 2019 16:30:25 GMT",9.39,7.059444444444445,1.4333333333333333,521.5666666666667,523.0,9.39,78.25,train
2_39_78_360_2019-02-01 16:43:18.913377,caltech,"Fri, 01 Feb 2019 16:43:19 GMT","Sat, 02 Feb 2019 00:58:23 GMT","Sat, 02 Feb 2019 00:55:50 GMT",12.886,1,17.52,"Fri, 01 Feb 2019 23:21:19 GMT",398.0,"Fri, 01 Feb 2019 16:43:19 GMT",17.52,0.0425,0.0,398.0,398.0,17.52,146.0,train
2_39_89_25_2019-02-01 16:57:40.633431,caltech,"Fri, 01 Feb 2019 16:57:41 GMT","Fri, 01 Feb 2019 18:07:26 GMT","Fri, 01 Feb 2019 18:07:22 GMT",4.107,1,8.0,"Fri, 01 Feb 2019 18:19:41 GMT",82.0,"Fri, 01 Feb 2019 16:57:46 GMT",8.0,0.0011111111111111111,0.08333333333333333,81.91666666666667,82.0,8.0,66.66666666666667,train
2_39_78_363_2019-02-01 17:00:07.627250,caltech,"Fri, 01 Feb 2019 17:00:08 GMT","Fri, 01 Feb 2019 18:16:23 GMT","Fri, 01 Feb 2019 18:17:20 GMT",7.082,1,54.0,"Sat, 02 Feb 2019 01:42:08 GMT",522.0,"Fri, 01 Feb 2019 17:00:45 GMT",54.0,0.0,0.6166666666666667,521.3833333333333,522.0,54.0,450.0,train
2_39_91_441_2019-02-01 17:11:52.279641,caltech,"Fri, 01 Feb 2019 17:11:52 GMT","Sat, 02 Feb 2019 01:56:50 GMT","Fri, 01 Feb 2019 19:53:41 GMT",17.183,1,24.0,"Sat, 02 Feb 2019 01:03:52 GMT",472.0,"Fri, 01 Feb 2019 17:11:56 GMT",24.0,6.0525,0.06666666666666667,471.93333333333334,472.0,24.0,199.99999999999997,train
2_39_88_438_2019-02-01 17:16:37.354261,caltech,"Fri, 01 Feb 2019 17:16:37 GMT","Sat, 02 Feb 2019 00:41:28 GMT","Sat, 02 Feb 2019 00:41:07 GMT",50.822,1,80.1,"Sat, 02 Feb 2019 00:45:37 GMT",449.0,"Fri, 01 Feb 2019 17:19:28 GMT",80.1,0.005833333333333334,2.85,446.15,449.0,80.1,667.4999999999999,train
2_39_95_27_2019-02-01 17:16:40.085136,caltech,"Fri, 01 Feb 2019 17:16:40 GMT","Sat, 02 Feb 2019 01:40:25 GMT","Fri, 01 Feb 2019 18:42:18 GMT",4.043,1,12.0,"Fri, 01 Feb 2019 19:50:40 GMT",154.0,"Fri, 01 Feb 2019 17:19:29 GMT",12.0,6.9686111111111115,2.816666666666667,151.18333333333334,154.0,12.0,99.99999999999999,train
2_39_126_560_2019-02-01 17:20:19.487162,caltech,"Fri, 01 Feb 2019 17:20:19 GMT","Sat, 02 Feb 2019 00:40:51 GMT","Fri, 01 Feb 2019 20:32:51 GMT",10.514,1,12.5,"Fri, 01 Feb 2019 23:38:19 GMT",378.0,"Fri, 01 Feb 2019 17:20:53 GMT",12.5,4.133333333333334,0.5666666666666667,377.43333333333334,378.0,12.5,104.16666666666667,train
2_39_79_376_2019-02-01 17:25:12.125831,caltech,"Fri, 01 Feb 2019 17:25:12 GMT","Sat, 02 Feb 2019 02:08:31 GMT","Fri, 01 Feb 2019 18:53:16 GMT",8.727,1,18.0,"Sat, 02 Feb 2019 00:54:12 GMT",449.0,"Fri, 01 Feb 2019 17:25:33 GMT",18.0,7.254166666666666,0.35,448.65,449.0,18.0,150.0,train
2_39_78_365_2019-02-01 17:38:08.202601,caltech,"Fri, 01 Feb 2019 17:38:08 GMT","Sat, 02 Feb 2019 02:56:20 GMT","Sat, 02 Feb 2019 02:41:45 GMT",18.34,1,16.65,"Fri, 01 Feb 2019 23:13:08 GMT",335.0,"Fri, 01 Feb 2019 17:39:00 GMT",16.65,0.24305555555555555,0.8666666666666667,334.1333333333333,335.0,16.65,138.74999999999997,train
2_39_92_436_2019-02-01 17:39:35.326095,caltech,"Fri, 01 Feb 2019 17:39:35 GMT","Sat, 02 Feb 2019 00:35:43 GMT","Fri, 01 Feb 2019 19:41:00 GMT",6.504,1,10.0,"Fri, 01 Feb 2019 21:22:35 GMT",223.0,"Fri, 01 Feb 2019 17:39:59 GMT",10.0,4.911944444444444,0.4,222.6,223.0,10.0,83.33333333333333,train
2_39_90_26_2019-02-01 17:44:03.482974,caltech,"Fri, 01 Feb 2019 17:44:03 GMT","Sat, 02 Feb 2019 00:11:49 GMT","Fri, 01 Feb 2019 22:26:24 GMT",16.082,1,20.0,"Fri, 01 Feb 2019 21:18:03 GMT",214.0,"Fri, 01 Feb 2019 17:44:05 GMT",20.0,1.7569444444444444,0.03333333333333333,213.96666666666667,214.0,20.0,166.66666666666666,train
2_39_127_561_2019-02-01 18:08:51.966809,caltech,"Fri, 01 Feb 2019 18:08:52 GMT","Sat, 02 Feb 2019 01:39:57 GMT","Fri, 01 Feb 2019 20:09:34 GMT",12.568,1,14.07,"Sat, 02 Feb 2019 01:07:52 GMT",419.0,"Fri, 01 Feb 2019 18:09:04 GMT",14.07,5.506388888888889,0.2,418.8,419.0,14.07,117.25,train
2_39_78_362_2019-02-01 18:16:49.369631,caltech,"Fri, 01 Feb 2019 18:16:49 GMT","Sat, 02 Feb 2019 02:26:08 GMT","Sat, 02 Feb 2019 02:27:06 GMT",8.64,1,12.0,"Sat, 02 Feb 2019 01:06:49 GMT",410.0,"Fri, 01 Feb 2019 18:17:01 GMT",12.0,0.0,0.2,409.8,410.0,12.0,99.99999999999999,train
2_39_90_440_2019-02-01 18:17:30.793485,caltech,"Fri, 01 Feb 2019 18:17:31 GMT","Sat, 02 Feb 2019 03:13:11 GMT","Fri, 01 Feb 2019 20:06:51 GMT",11.416,1,14.0,"Sat, 02 Feb 2019 02:51:31 GMT",514.0,"Fri, 01 Feb 2019 18:17:34 GMT",14.0,7.105555555555555,0.05,513.95,514.0,14.0,116.66666666666667,train
2_39_95_444_2019-02-01 18:28:10.509237,caltech,"Fri, 01 Feb 2019 18:28:10 GMT","Sat, 02 Feb 2019 03:06:38 GMT","Sat, 02 Feb 2019 02:33:00 GMT",8.647,1,8.58,"Sat, 02 Feb 2019 05:09:10 GMT",641.0,"Fri, 01 Feb 2019 18:32:57 GMT",8.58,0.5605555555555556,4.783333333333333,636.2166666666667,641.0,8.58,71.5,train
2_39_88_24_2019-02-01 18:33:22.677967,caltech,"Fri, 01 Feb 2019 18:33:23 GMT","Sat, 02 Feb 2019 01:46:35 GMT","Fri, 01 Feb 2019 19:19:24 GMT",1.949,1,6.0,"Fri, 01 Feb 2019 23:43:23 GMT",310.0,"Fri, 01 Feb 2019 18:33:32 GMT",6.0,6.453055555555555,0.15,309.85,310.0,6.0,49.99999999999999,train
2_39_125_21_2019-02-01 19:02:51.947894,caltech,"Fri, 01 Feb 2019 19:02:52 GMT","Sat, 02 Feb 2019 08:50:21 GMT","Fri, 01 Feb 2019 20:07:17 GMT",2.163,1,16.0,"Fri, 01 Feb 2019 23:53:52 GMT",291.0,"Fri, 01 Feb 2019 19:03:09 GMT",16.0,12.717777777777778,0.2833333333333333,290.71666666666664,291.0,16.0,133.33333333333334,train
2_39_79_377_2019-02-01 19:18:10.545039,caltech,"Fri, 01 Feb 2019 19:18:11 GMT","Sat, 02 Feb 2019 00:59:02 GMT","Fri, 01 Feb 2019 22:35:43 GMT",20.437,1,21.0,"Sat, 02 Feb 2019 00:42:11 GMT",324.0,"Fri, 01 Feb 2019 19:18:59 GMT",21.0,2.388611111111111,0.8,323.2,324.0,21.0,175.0,train
2_39_89_439_2019-02-01 19:47:22.463831,caltech,"Fri, 01 Feb 2019 19:47:22 GMT","Fri, 01 Feb 2019 23:44:33 GMT","Fri, 01 Feb 2019 21:08:21 GMT",3.931,3,8.0,"Sat, 02 Feb 2019 00:22:22 GMT",275.0,"Fri, 01 Feb 2019 20:30:38 GMT",8.0,2.6033333333333335,43.266666666666666,231.73333333333332,275.0,8.0,66.66666666666667,train
2_39_139_28_2019-02-01 20:33:49.672736,caltech,"Fri, 01 Feb 2019 20:33:50 GMT","Sat, 02 Feb 2019 01:07:42 GMT","Fri, 01 Feb 2019 23:10:31 GMT",16.395,1,16.5,"Sat, 02 Feb 2019 00:51:50 GMT",258.0,"Fri, 01 Feb 2019 20:34:39 GMT",16.5,1.9530555555555555,0.8166666666666667,257.18333333333334,258.0,16.5,137.5,train
2_39_79_378_2019-02-01 20:54:36.870325,caltech,"Fri, 01 Feb 2019 20:54:37 GMT","Sat, 02 Feb 2019 01:10:57 GMT","Sat, 02 Feb 2019 00:04:53 GMT",9.635,1,18.0,"Fri, 01 Feb 2019 23:54:37 GMT",180.0,"Fri, 01 Feb 2019 20:56:29 GMT",18.0,1.1011111111111112,1.8666666666666667,178.13333333333333,180.0,18.0,150.0,train
2_39_89_25_2019-02-01 21:01:44.308566,caltech,"Fri, 01 Feb 2019 21:01:44 GMT","Sat, 02 Feb 2019 00:22:16 GMT","Fri, 01 Feb 2019 22:22:58 GMT",9.126,1,15.0,"Sat, 02 Feb 2019 00:38:44 GMT",217.0,"Fri, 01 Feb 2019 21:02:08 GMT",15.0,1.9883333333333333,0.4,216.6,217.0,15.0,125.00000000000001,train
2_39_78_364_2019-02-01 21:19:33.339539,caltech,"Fri, 01 Feb 2019 21:19:33 GMT","Sat, 02 Feb 2019 00:25:18 GMT","Fri, 01 Feb 2019 22:37:54 GMT",3.962,1,8.0,"Fri, 01 Feb 2019 22:17:33 GMT",58.0,"Fri, 01 Feb 2019 21:19:53 GMT",8.0,1.79,0.3333333333333333,57.666666666666664,58.0,8.0,66.66666666666667,train
2_39_126_20_2019-02-01 21:31:00.456822,caltech,"Fri, 01 Feb 2019 21:31:00 GMT","Sat, 02 Feb 2019 02:25:31 GMT","Fri, 01 Feb 2019 22:03:23 GMT",1.57,1,3.5,"Sat, 02 Feb 2019 01:05:00 GMT",214.0,"Fri, 01 Feb 2019 21:31:40 GMT",3.5,4.368888888888889,0.6666666666666666,213.33333333333334,214.0,3.5,29.166666666666668,train
2_39_78_361_2019-02-01 21:38:38.604142,caltech,"Fri, 01 Feb 2019 21:38:39 GMT","Sat, 02 Feb 2019 02:13:06 GMT","Sat, 02 Feb 2019 00:56:56 GMT",13.334,1,36.0,"Sat, 02 Feb 2019 05:52:39 GMT",494.0,"Fri, 01 Feb 2019 21:38:47 GMT",36.0,1.2694444444444444,0.13333333333333333,493.8666666666667,494.0,36.0,300.0,train
2_39_123_557_2019-02-01 22:02:01.276770,caltech,"Fri, 01 Feb 2019 22:02:01 GMT","Sat, 02 Feb 2019 00:48:59 GMT","Fri, 01 Feb 2019 23:37:04 GMT",9.508,1,40.0,"Sat, 02 Feb 2019 05:06:01 GMT",424.0,"Fri, 01 Feb 2019 22:02:15 GMT",40.0,1.198611111111111,0.23333333333333334,423.76666666666665,424.0,40.0,333.3333333333333,train
2_39_124_22_2019-02-01 22:40:54.911155,caltech,"Fri, 01 Feb 2019 22:40:55 GMT","Fri, 01 Feb 2019 22:51:33 GMT","Fri, 01 Feb 2019 22:51:29 GMT",0.813,4,20.0,"Sat, 02 Feb 2019 00:26:55 GMT",106.0,"Fri, 01 Feb 2019 22:47:56 GMT",20.0,0.0011111111111111111,7.016666666666667,98.98333333333333,106.0,20.0,166.66666666666666,train
2_39_89_25_2019-03-01 00:28:52.924169,caltech,"Fri, 01 Mar 2019 00:28:53 GMT","Fri, 01 Mar 2019 02:31:07 GMT","Fri, 01 Mar 2019 02:30:58 GMT",7.096,5,9.9,"Fri, 01 Mar 2019 03:05:53 GMT",157.0,"Fri, 01 Mar 2019 02:19:39 GMT",9.99,0.0025,110.76666666666667,46.233333333333334,157.0,9.9,82.5,train
2_39_139_28_2019-03-01 00:47:29.724814,caltech,"Fri, 01 Mar 2019 00:47:30 GMT","Fri, 01 Mar 2019 02:27:35 GMT","Fri, 01 Mar 2019 01:29:16 GMT",1.954,1,45.8,"Fri, 01 Mar 2019 02:23:30 GMT",96.0,"Fri, 01 Mar 2019 00:47:55 GMT",45.8,0.9719444444444445,0.4166666666666667,95.58333333333333,96.0,45.8,381.66666666666663,train
2_39_79_379_2019-03-01 02:02:24.819735,caltech,"Fri, 01 Mar 2019 02:02:25 GMT","Fri, 01 Mar 2019 06:07:55 GMT","Fri, 01 Mar 2019 04:20:35 GMT",9.625,2,16.0,"Fri, 01 Mar 2019 07:00:25 GMT",298.0,"Fri, 01 Mar 2019 06:00:51 GMT",12.0,1.788888888888889,238.43333333333334,59.56666666666667,298.0,16.0,133.33333333333334,train
2_39_125_21_2019-03-01 02:22:48.568546,caltech,"Fri, 01 Mar 2019 02:22:49 GMT","Fri, 01 Mar 2019 04:10:47 GMT","Fri, 01 Mar 2019 04:09:51 GMT",11.256,1,15.0,"Fri, 01 Mar 2019 05:29:49 GMT",187.0,"Fri, 01 Mar 2019 02:23:07 GMT",15.0,0.015555555555555555,0.3,186.7,187.0,15.0,125.00000000000001,train
2_39_138_29_2019-03-01 02:51:42.729638,caltech,"Fri, 01 Mar 2019 02:51:43 GMT","Fri, 01 Mar 2019 04:40:23 GMT","Fri, 01 Mar 2019 03:34:56 GMT",3.474,2,25.04,"Fri, 01 Mar 2019 05:20:43 GMT",149.0,"Fri, 01 Mar 2019 04:40:17 GMT",25.04,1.0908333333333333,108.56666666666666,40.43333333333333,149.0,25.04,208.66666666666666,train
2_39_130_31_2019-03-01 04:13:56.422820,caltech,"Fri, 01 Mar 2019 04:13:56 GMT","Fri, 01 Mar 2019 07:23:25 GMT","Fri, 01 Mar 2019 05:51:48 GMT",9.747,1,35.04,"Fri, 01 Mar 2019 06:17:56 GMT",124.0,"Fri, 01 Mar 2019 04:15:35 GMT",35.04,1.5269444444444444,1.65,122.35,124.0,35.04,292.0,train
2_39_139_28_2019-03-01 05:54:04.846070,caltech,"Fri, 01 Mar 2019 05:54:05 GMT","Fri, 01 Mar 2019 14:53:45 GMT","Fri, 01 Mar 2019 10:11:08 GMT",14.975,2,34.64,"Fri, 01 Mar 2019 11:01:05 GMT",307.0,"Fri, 01 Mar 2019 05:54:41 GMT",34.64,4.710277777777778,0.6,306.4,307.0,34.64,288.66666666666663,train
2_39_79_377_2019-03-01 06:07:58.901926,caltech,"Fri, 01 Mar 2019 06:07:59 GMT","Sat, 02 Mar 2019 16:12:55 GMT","Sat, 02 Mar 2019 01:27:46 GMT",26.513,1,40.04,"Fri, 01 Mar 2019 13:41:59 GMT",454.0,"Fri, 01 Mar 2019 06:08:11 GMT",40.04,14.7525,0.2,453.8,454.0,40.04,333.66666666666663,train
2_39_89_25_2019-03-01 14:24:58.323646,caltech,"Fri, 01 Mar 2019 14:24:58 GMT","Fri, 01 Mar 2019 15:40:38 GMT","Fri, 01 Mar 2019 15:40:30 GMT",4.216,1,8.0,"Fri, 01 Mar 2019 15:47:58 GMT",83.0,"Fri, 01 Mar 2019 14:26:10 GMT",8.0,0.0022222222222222222,1.2,81.8,83.0,8.0,66.66666666666667,train
2_39_78_365_2019-03-01 15:38:04.319214,caltech,"Fri, 01 Mar 2019 15:38:04 GMT","Sat, 02 Mar 2019 00:46:03 GMT","Sat, 02 Mar 2019 00:05:11 GMT",17.366,1,21.0,"Fri, 01 Mar 2019 21:28:04 GMT",350.0,"Fri, 01 Mar 2019 15:38:15 GMT",21.0,0.6811111111111111,0.18333333333333332,349.81666666666666,350.0,21.0,175.0,train
2_39_123_23_2019-03-01 15:57:09.682113,caltech,"Fri, 01 Mar 2019 15:57:10 GMT","Sat, 02 Mar 2019 00:47:31 GMT","Fri, 01 Mar 2019 17:27:35 GMT",4.711,1,8.0,"Fri, 01 Mar 2019 19:40:10 GMT",223.0,"Fri, 01 Mar 2019 15:57:27 GMT",8.0,7.332222222222223,0.2833333333333333,222.71666666666667,223.0,8.0,66.66666666666667,train
2_39_79_379_2019-03-01 15:59:47.953851,caltech,"Fri, 01 Mar 2019 15:59:48 GMT","Sat, 02 Mar 2019 04:45:44 GMT","Fri, 01 Mar 2019 20:37:48 GMT",15.822,1,25.48,"Sat, 02 Mar 2019 03:08:48 GMT",669.0,"Fri, 01 Mar 2019 16:00:06 GMT",25.48,8.132222222222222,0.3,668.7,669.0,25.48,212.33333333333331,train
2_39_139_28_2019-03-01 16:24:15.428931,caltech,"Fri, 01 Mar 2019 16:24:15 GMT","Sat, 02 Mar 2019 01:25:27 GMT","Fri, 01 Mar 2019 19:22:30 GMT",12.167,1,15.65,"Sat, 02 Mar 2019 00:03:15 GMT",459.0,"Fri, 01 Mar 2019 16:25:00 GMT",15.65,6.049166666666666,0.75,458.25,459.0,15.65,130.41666666666666,train
2_39_92_442_2019-03-01 16:43:17.053137,caltech,"Fri, 01 Mar 2019 16:43:17 GMT","Sat, 02 Mar 2019 01:32:43 GMT","Fri, 01 Mar 2019 23:00:44 GMT",41.687,1,50.0,"Sat, 02 Mar 2019 01:00:17 GMT",497.0,"Fri, 01 Mar 2019 16:43:54 GMT",50.0,2.5330555555555554,0.6166666666666667,496.3833333333333,497.0,50.0,416.6666666666667,train
