session_id,site,garage,station_id,start_utc,end_utc,duration_min,max_gap_kw,median_gap_kw,p95_gap_kw,gap_energy_kwh,working_power_median_kw,month,event_phase,start_minutes_to_done,minutes_from_disconnect_at_start,fail_type,permutation_survived,charging_minutes,n_events
2_39_79_376_2019-10-04 16:30:48.871892,caltech,California_Garage_01,2-39-79-376,2019-10-04 16:43:00+00:00,2019-10-04 19:34:00+00:00,172.0,1.4189374999999997,1.3637499999999998,1.408993333333333,3.9091066870915028,3.435925,2019-10,core_run_segment,248.6,518.15,largest_core_event,True,,
2_39_92_436_2018-11-21 17:48:33.805930,caltech,California_Garage_01,2-39-92-436,2018-11-21 17:54:00+00:00,2018-11-21 20:38:00+00:00,165.0,6.4224,4.3455625,5.849600833333329,12.193640702399383,3.252625,2018-11,core_run_segment,164.91666666666666,412.53333333333336,largest_core_event,False,,
2_39_83_386_2018-11-24 01:07:05.274575,caltech,California_Garage_01,2-39-83-386,2018-11-24 01:13:00+00:00,2018-11-24 03:46:00+00:00,154.0,4.3715882352941176,4.309647916666666,4.348889444444445,10.979992401285076,3.368466666666667,2018-11,core_run_segment,163.71666666666667,163.8,largest_core_event,True,,
2_39_79_379_2019-10-23 15:15:24.274941,caltech,California_Garage_01,2-39-79-379,2019-10-23 16:30:00+00:00,2019-10-23 18:54:00+00:00,145.0,1.3792,1.3434666666666666,1.3694299999999997,3.2301683394147127,3.4565333333333332,2019-10,core_run_segment,166.16666666666666,633.15,largest_core_event,False,,
2_39_79_381_2019-03-19 05:19:25.541370,,,,,,,,,,,,,,,,no_event_long_charging,,1231.0,0.0
2_39_79_382_2018-11-26 15:07:36.636088,,,,,,,,,,,,,,,,no_event_long_charging,,727.0,0.0
2_39_79_380_2019-05-14 04:00:42.385441,,,,,,,,,,,,,,,,no_event_long_charging,,669.0,0.0
2_39_78_363_2018-11-27 16:44:28.111106,,,,,,,,,,,,,,,,no_event_long_charging,,615.0,0.0
2_39_79_381_2019-03-07 16:53:31.098609,,,,,,,,,,,,,,,,no_event_long_charging,,573.0,0.0
2_39_79_380_2019-04-19 14:55:13.617948,,,,,,,,,,,,,,,,no_event_long_charging,,555.0,0.0
2_39_79_381_2018-11-12 16:10:15.288070,,,,,,,,,,,,,,,,no_event_long_charging,,553.0,0.0
2_39_78_366_2019-08-02 14:58:17.163018,,,,,,,,,,,,,,,,no_event_long_charging,,552.0,0.0
2_39_79_381_2019-04-05 15:13:25.648864,,,,,,,,,,,,,,,,no_event_long_charging,,552.0,0.0
2_39_78_366_2019-05-21 14:20:40.350824,,,,,,,,,,,,,,,,no_event_long_charging,,550.0,0.0
2_39_79_381_2019-08-28 15:56:06.017467,,,,,,,,,,,,,,,,no_event_long_charging,,549.0,0.0
2_39_78_360_2018-11-27 16:39:04.571810,,,,,,,,,,,,,,,,no_event_long_charging,,548.0,0.0
2_39_95_27_2019-04-13 05:43:20.108973,,,,,,,,,,,,,,,,no_event_long_charging,,547.0,0.0
2_39_79_381_2019-03-21 15:46:12.489297,,,,,,,,,,,,,,,,no_event_long_charging,,547.0,0.0
2_39_78_366_2019-10-29 15:17:28.149196,,,,,,,,,,,,,,,,no_event_long_charging,,545.0,0.0
2_39_79_383_2018-11-19 16:11:19.728825,,,,,,,,,,,,,,,,no_event_long_charging,,542.0,0.0
2_39_91_441_2019-04-09 04:52:20.206290,,,,,,,,,,,,,,,,no_event_long_charging,,539.0,0.0
2_39_79_381_2019-04-10 15:59:56.604003,,,,,,,,,,,,,,,,no_event_long_charging,,538.0,0.0
2_39_79_383_2019-04-14 03:18:45.491198,,,,,,,,,,,,,,,,no_event_long_charging,,525.0,0.0
2_39_78_367_2018-11-19 16:35:35.555169,,,,,,,,,,,,,,,,no_event_long_charging,,518.0,0.0
