session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2019-08-09 19:42:22.586077,79,350.06674444444445,2.0,1.1084195138888888,20.0,True
2_39_123_23_2019-08-10 17:25:42.172550,24,40.60756862745098,0.0,0.0,0.0,False
2_39_123_23_2019-08-12 17:01:48.227174,291,1837.8447678921568,0.0,0.0,0.0,False
2_39_123_23_2019-08-13 00:49:30.414323,110,360.4596287815126,1.0,0.658519087301587,10.0,True
2_39_123_23_2019-08-14 15:47:24.600094,96,293.58021463675215,3.0,0.3661294648692811,8.0,True
2_39_123_23_2019-08-14 19:47:04.065259,59,117.86278057359307,1.0,0.2862046590909091,9.0,True
2_39_123_23_2019-08-15 16:50:35.664442,83,478.80089107142857,0.0,0.0,0.0,False
2_39_123_23_2019-08-16 00:08:04.947040,31,52.47,0.0,0.0,0.0,False
2_39_123_23_2019-08-16 20:44:29.106426,30,39.84052401960784,1.0,0.21677652777777776,13.0,True
2_39_123_23_2019-08-19 16:06:09.935976,84,265.48671666666667,1.0,0.201481875,5.0,True
2_39_123_23_2019-08-19 23:31:55.794982,284,957.2097458333334,5.0,3.106601458333333,43.0,True
2_39_123_23_2019-08-20 16:08:59.471101,94,279.73499166666664,5.0,0.9626433333333334,8.0,True
2_39_123_23_2019-08-20 20:26:03.449523,40,99.3924,2.0,0.4626649305555556,9.0,True
2_39_123_23_2019-08-21 15:49:02.159328,90,268.8881639705882,3.0,0.5626109027777778,8.0,True
2_39_123_23_2019-08-22 16:36:03.874339,53,319.51381726190476,1.0,0.5564047222222221,6.0,True
2_39_123_23_2019-08-23 16:48:52.854836,137,458.3489993229509,5.0,2.8801623528136666,65.0,True
2_39_123_23_2019-08-24 23:03:39.400536,67,179.55441904761904,2.0,0.5414525000000001,12.0,True
2_39_123_23_2019-08-26 19:09:58.918172,59,118.15010833333334,1.0,0.2569652083333333,8.0,True
2_39_123_23_2019-08-27 16:04:38.904743,111,450.17367083333335,2.0,1.561801458333333,43.0,True
2_39_123_23_2019-08-28 16:26:19.789379,76,239.66075073529413,3.0,0.8831219934640522,17.0,True
2_39_123_23_2019-08-29 15:43:18.953786,31,51.285133333333334,0.0,0.0,0.0,False
2_39_123_23_2019-08-29 16:30:51.956859,31,51.80249901960784,0.0,0.0,0.0,False
2_39_123_23_2019-08-29 20:11:05.350799,122,397.3662036423544,1.0,0.5481557175925926,9.0,True
2_39_123_23_2019-08-30 01:02:18.457958,31,53.0988946969697,0.0,0.0,0.0,False
2_39_123_23_2019-08-30 17:21:34.925694,296,1927.6354786414565,0.0,0.0,0.0,False
2_39_123_23_2019-08-30 23:48:14.361700,75,222.57958039215686,1.0,0.47728692401960787,15.0,True
2_39_123_23_2019-10-01 16:22:38.909533,103,628.9678951447245,1.0,0.7511874305555555,16.0,True
2_39_123_23_2019-10-01 21:22:12.641472,70,224.6193399509804,1.0,1.0412888194444445,30.0,True
2_39_123_23_2019-10-02 16:18:42.810427,70,227.00535833333333,1.0,0.9580583547008547,16.0,True
2_39_123_23_2019-10-03 02:38:31.260183,163,911.7529333333333,1.0,0.3530464583333333,16.0,True
2_39_123_23_2019-10-03 16:43:56.215485,174,554.741825,1.0,0.38064437500000003,12.0,True
2_39_123_23_2019-10-04 19:37:04.338736,126,737.2204321428571,0.0,0.0,0.0,False
2_39_123_23_2019-10-05 21:13:37.434872,95,290.80954404761906,2.0,0.9960320833333334,14.0,True
2_39_123_23_2019-10-07 16:58:04.754400,57,159.56117853641456,1.0,0.34280193627450983,10.0,True
2_39_123_23_2019-10-08 15:55:45.729483,81,272.5780375,2.0,1.489266458333333,33.0,True
2_39_123_23_2019-10-09 16:27:17.401162,130,824.9966829545455,1.0,0.5700193055555557,7.0,True
2_39_123_23_2019-10-10 16:35:26.190308,54,319.91312202380954,1.0,0.6301266666666665,7.0,True
2_39_123_23_2019-10-11 17:02:38.403867,20,86.85446666666667,0.0,0.0,0.0,False
2_39_123_23_2019-10-13 19:10:07.791172,108,359.472816025641,0.0,0.0,0.0,False
2_39_123_23_2019-10-14 16:56:32.761838,65,340.28549278711483,0.0,0.0,0.0,False
2_39_123_23_2019-10-14 18:07:21.105148,233,1602.0824435807656,0.0,0.0,0.0,False
2_39_123_23_2019-10-15 16:47:02.926108,302,1714.1459019491128,2.0,1.537523941993464,30.0,True
2_39_123_23_2019-10-15 23:32:19.848702,57,168.98038434065936,1.0,0.37167157051282046,13.0,True
2_39_123_23_2019-10-16 16:37:22.775207,99,311.9810888888889,0.0,0.0,0.0,False
2_39_123_23_2019-10-16 18:32:03.227456,255,1645.003657457983,1.0,0.8470678472222224,20.0,True
2_39_123_23_2019-10-17 18:46:58.205870,26,43.62540714285714,0.0,0.0,0.0,False
2_39_123_23_2019-10-18 16:48:21.337099,151,478.4474898809524,1.0,0.6433544444444443,10.0,True
