test_id,measurement_start,measurement_end,schedule_start,schedule_end,overlap_seconds,measurement_rows_on_schedule_timestamps,raw_timestamp_aligned,alignment_semantics_status
1,2023-08-14 12:00:00,2023-08-17 12:00:00,2022-10-05 00:00:00,2022-10-07 23:45:00,0.0,0,False,NOT_ALIGNED
2,2024-05-28 12:00:00,2024-05-31 12:00:00,2024-05-28 12:00:00,2024-05-31 11:45:00,258300.0,288,True,RAW_LABEL_ALIGNED_WITH_TIMEZONE_CAVEAT
