,value
n_matched,40644
n_with_userinput,36364
userinput_coverage,0.8946954039956697
ratio_median,0.59525
ratio_iqr,0.393796021021021
ratio_p10,0.2390010859728507
ratio_p90,0.9716783183183183
ratio_under_half,0.3719990099826747
depart_bias_median_h,0.5227777777777778
depart_bias_abs_median_h,1.4104166666666667
depart_bias_abs_p90_h,5.995583333333334
session_duration_median_h,7.489444444444445
physical_realizable_fraction,0.8255967440325597
n_multiple_userinputs,6080
opportunity_bins,10730
verdict,GO
validity_go,True
opportunity_go,True
depart_informative,True
