hypothesis,description,interval_count,rmse_kw,mean_absolute_deviation_kw,cumulative_unfulfilled_energy_kwh,first_major_curtailment_hour,largest_single_window_abs_deviation_kwh,largest_single_window_hour,within_tolerance_count,anchor_score,rmse_rel_error,mad_rel_error,unfulfilled_rel_error,first_curtailment_interval_error,single_window_rel_error
S0_raw_label,raw timestamp label direct pairing,288,23.22833617915682,11.649243431651906,540.3841886233303,61.0,49.11027777777781,61.0,2,4.529214651378271,0.6747178211360361,2.5194088917377355,1.2705218009383625,0.0,0.06456613756613695
S1_supplementary_timezone,supplementary UTC+1/UTC+2 normalization,284,1183.0105507730757,632.9421275934696,24250.722277863457,2.0,1209.549063184241,65.75,0,633.4467652488056,84.292757806278,190.2211865841298,100.8937910834599,236.0,22.039029774937926
