site,garage,periods,pilot_coverage_mean,ev_peak_kw,ev_p95_kw,ev_p50_kw,flex_up_f0_peak_kw,flex_up_f0_p95_kw,flex_up_f0_p50_kw,flex_down_reliable_peak_kw,flex_down_reliable_p95_kw,flex_down_reliable_p50_kw,flex_to_ev_peak_ratio
caltech,California_Garage_01,132087,0.9955107870822513,107.40844741084247,48.90912207141009,6.702768333333333,123.55503722240896,35.32227981326619,4.8,62.86656862211938,28.62669327291227,3.9231555389109185,0.5853037646252509
jpl,Arroyo_Garage_01,113214,0.07292891731097254,148.8578059722222,131.44642716108098,14.9718987625,39.211665,1.5415999999999999,0.0,87.12703422939681,76.93608866391952,8.763108709279386,0.5853037646252509
office001,Parking_Lot_01,47821,1.0,40.32290083333333,16.877521666666667,4.642828333333333,22.56,9.783841666666667,2.1976841666666664,23.601145658360664,9.87847696904424,2.7174649020087793,0.5853037646252509
