concurrency_bin,periods,ev_p95_kw,down_reliable_p95_kw
1,81622,6.588764875,3.856428885568121
2-5,103104,17.041228037541195,9.97429492421024
6-10,23723,34.42485372107142,20.14899647961668
11-20,24782,57.83850221934671,33.85309308926956
>20,59891,136.49877745225746,79.89324830955061
