phase,n_events,n_event_sessions,event_share,energy_kwh
post_done,0,0,0.0,0.0
pre_done_tail,4026,3702,0.5309944605644948,1742.3840434065096
pre_done_mid,2386,1733,0.3146926932207861,1239.6409650362048
core_run_segment,1106,530,0.14587180163545238,434.61749514334326
done_missing,64,33,0.008441044579266685,38.19393653457661
