session_id,site,garage,station_id,start_utc,end_utc,duration_min,max_gap_kw,median_gap_kw,p95_gap_kw,gap_energy_kwh,working_power_median_kw,month,phase,event_phase,start_minutes_to_done,minutes_from_disconnect_at_start,fail_type,permutation_survived,charging_minutes,n_events
2_39_139_28_2019-08-05 04:55:23.732024,caltech,California_Garage_01,2-39-139-28,2019-08-05 05:13:00+00:00,2019-08-05 06:44:00+00:00,92.0,1.9411999999999998,1.2308270833333332,1.2507433333333333,1.904832679738562,3.5685000000000002,2019-08,core_run_segment,core_run_segment,429.9166666666667,602.7833333333333,largest_core_event,True,,
2_39_123_23_2019-05-22 15:57:55.570274,caltech,California_Garage_01,2-39-123-23,2019-05-22 16:19:00+00:00,2019-05-22 17:44:00+00:00,86.0,1.4172666666666665,1.3008958333333334,1.3844187499999996,1.8692107347105509,3.484095833333333,2019-05,core_run_segment,core_run_segment,277.26666666666665,477.03333333333336,largest_core_event,False,,
2_39_79_381_2019-03-19 05:19:25.541370,,,,,,,,,,,,,,,,,no_event_long_charging,,1231.0,0.0
2_39_79_381_2019-02-03 03:27:04.392204,,,,,,,,,,,,,,,,,no_event_long_charging,,943.0,0.0
2_39_79_382_2018-11-26 15:07:36.636088,,,,,,,,,,,,,,,,,no_event_long_charging,,727.0,0.0
2_39_79_380_2019-05-14 04:00:42.385441,,,,,,,,,,,,,,,,,no_event_long_charging,,669.0,0.0
2_39_78_366_2019-02-19 15:20:08.716514,,,,,,,,,,,,,,,,,no_event_long_charging,,660.0,0.0
2_39_79_381_2018-12-23 11:55:38.467728,,,,,,,,,,,,,,,,,no_event_long_charging,,617.0,0.0
2_39_78_363_2018-11-27 16:44:28.111106,,,,,,,,,,,,,,,,,no_event_long_charging,,615.0,0.0
2_39_79_383_2018-12-18 15:14:48.840966,,,,,,,,,,,,,,,,,no_event_long_charging,,615.0,0.0
2_39_79_383_2019-01-07 16:57:28.977434,,,,,,,,,,,,,,,,,no_event_long_charging,,604.0,0.0
2_39_79_379_2019-01-02 16:18:55.665332,,,,,,,,,,,,,,,,,no_event_long_charging,,600.0,0.0
2_39_79_380_2018-12-11 16:33:26.972533,,,,,,,,,,,,,,,,,no_event_long_charging,,584.0,0.0
2_39_78_365_2018-12-03 15:28:11.963082,,,,,,,,,,,,,,,,,no_event_long_charging,,576.0,0.0
2_39_79_381_2019-03-07 16:53:31.098609,,,,,,,,,,,,,,,,,no_event_long_charging,,573.0,0.0
2_39_79_382_2019-02-19 16:37:47.720000,,,,,,,,,,,,,,,,,no_event_long_charging,,568.0,0.0
2_39_78_364_2019-07-24 17:04:42.411176,,,,,,,,,,,,,,,,,no_event_long_charging,,567.0,0.0
2_39_79_381_2019-02-25 01:56:51.194112,,,,,,,,,,,,,,,,,no_event_long_charging,,561.0,0.0
2_39_78_364_2019-02-12 18:48:13.706276,,,,,,,,,,,,,,,,,no_event_long_charging,,557.0,0.0
2_39_79_382_2018-12-18 16:55:00.127200,,,,,,,,,,,,,,,,,no_event_long_charging,,555.0,0.0
2_39_79_380_2019-04-19 14:55:13.617948,,,,,,,,,,,,,,,,,no_event_long_charging,,555.0,0.0
2_39_78_365_2019-01-07 15:15:40.248727,,,,,,,,,,,,,,,,,no_event_long_charging,,554.0,0.0
