site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-79-382,2018-05,current_only,M4_history_insufficient,train,59,12
caltech,2-39-79-383,2018-05,current_only,M4_history_insufficient,train,61,12
caltech,2-39-82-385,2018-05,current_only,M4_history_insufficient,train,2,2
caltech,2-39-83-386,2018-05,current_only,M4_history_insufficient,train,12,3
caltech,2-39-83-387,2018-05,current_only,M4_history_insufficient,train,1,1
caltech,2-39-88-24,2018-05,current_only,M4_history_insufficient,train,94,21
caltech,2-39-88-438,2018-05,current_only,M4_history_insufficient,train,35,12
caltech,2-39-89-25,2018-05,current_only,M4_history_insufficient,train,79,16
caltech,2-39-89-439,2018-05,current_only,M4_history_insufficient,train,44,10
caltech,2-39-90-26,2018-05,current_only,M4_history_insufficient,train,50,12
caltech,2-39-90-440,2018-05,current_only,M4_history_insufficient,train,60,14
caltech,2-39-91-437,2018-05,current_only,M4_history_insufficient,train,81,16
caltech,2-39-91-441,2018-05,current_only,M4_history_insufficient,train,45,11
caltech,2-39-92-436,2018-05,current_only,M4_history_insufficient,train,57,12
caltech,2-39-92-442,2018-05,current_only,M4_history_insufficient,train,71,14
caltech,2-39-95-27,2018-05,current_only,M4_history_insufficient,train,73,15
caltech,2-39-95-444,2018-05,current_only,M4_history_insufficient,train,59,15
caltech,2-39-91-437,2020-06,current_only,M4_history_insufficient,test,5,1
caltech,2-39-123-23,2018-05,measured_no_pilot,M3_current_only,train,12319,34
caltech,2-39-123-557,2018-05,measured_no_pilot,M3_current_only,train,7387,21
caltech,2-39-124-22,2018-05,measured_no_pilot,M3_current_only,train,8853,33
caltech,2-39-124-558,2018-05,measured_no_pilot,M3_current_only,train,1270,4
caltech,2-39-125-21,2018-05,measured_no_pilot,M3_current_only,train,8123,33
caltech,2-39-125-559,2018-05,measured_no_pilot,M3_current_only,train,1307,5
caltech,2-39-126-20,2018-05,measured_no_pilot,M3_current_only,train,8741,22
caltech,2-39-126-560,2018-05,measured_no_pilot,M3_current_only,train,2596,7
caltech,2-39-127-19,2018-05,measured_no_pilot,M3_current_only,train,9917,41
caltech,2-39-127-561,2018-05,measured_no_pilot,M3_current_only,train,4536,16
caltech,2-39-128-18,2018-05,measured_no_pilot,M3_current_only,train,6132,27
caltech,2-39-128-562,2018-05,measured_no_pilot,M3_current_only,train,3992,11
caltech,2-39-129-17,2018-05,measured_no_pilot,M3_current_only,train,13250,40
caltech,2-39-129-563,2018-05,measured_no_pilot,M3_current_only,train,4489,12
caltech,2-39-130-31,2018-05,measured_no_pilot,M3_current_only,train,4000,26
caltech,2-39-130-564,2018-05,measured_no_pilot,M3_current_only,train,5210,13
caltech,2-39-131-30,2018-05,measured_no_pilot,M3_current_only,train,20431,38
caltech,2-39-131-565,2018-05,measured_no_pilot,M3_current_only,train,3481,13
caltech,2-39-138-29,2018-05,measured_no_pilot,M3_current_only,train,10187,49
caltech,2-39-138-566,2018-05,measured_no_pilot,M3_current_only,train,11134,26
caltech,2-39-139-28,2018-05,measured_no_pilot,M3_current_only,train,18574,49
caltech,2-39-139-567,2018-05,measured_no_pilot,M3_current_only,train,2237,7
caltech,2-39-78-360,2018-05,measured_no_pilot,M3_current_only,train,10971,25
caltech,2-39-78-361,2018-05,measured_no_pilot,M3_current_only,train,6924,18
caltech,2-39-78-362,2018-05,measured_no_pilot,M3_current_only,train,8220,16
caltech,2-39-78-363,2018-05,measured_no_pilot,M3_current_only,train,9423,27
caltech,2-39-78-364,2018-05,measured_no_pilot,M3_current_only,train,9184,19
caltech,2-39-78-365,2018-05,measured_no_pilot,M3_current_only,train,11732,39
caltech,2-39-78-366,2018-05,measured_no_pilot,M3_current_only,train,12359,33
caltech,2-39-78-367,2018-05,measured_no_pilot,M3_current_only,train,9425,32
caltech,2-39-79-376,2018-05,measured_no_pilot,M3_current_only,train,13698,33
caltech,2-39-79-377,2018-05,measured_no_pilot,M3_current_only,train,19021,39
caltech,2-39-79-378,2018-05,measured_no_pilot,M3_current_only,train,18866,31
caltech,2-39-79-379,2018-05,measured_no_pilot,M3_current_only,train,22422,43
caltech,2-39-79-380,2018-05,measured_no_pilot,M3_current_only,train,11929,36
caltech,2-39-79-381,2018-05,measured_no_pilot,M3_current_only,train,9641,24
caltech,2-39-79-382,2018-05,measured_no_pilot,M3_current_only,train,8737,24
caltech,2-39-79-383,2018-05,measured_no_pilot,M3_current_only,train,9369,18
caltech,2-39-82-385,2018-05,measured_no_pilot,M3_current_only,train,6,1
