direction,lag_min,median,p25,p75,mean,std,count
down,1,1.144968242894291,0.2983285904460425,1.9365182559160616,1.0702950786218741,0.7571129552694291,4699
down,3,0.6475005793314513,0.00911578373892745,1.718579002705145,0.8457579174226331,0.8138210841508147,4699
down,5,0.5853037646252509,0.006769632699836729,1.743393054760777,0.8362392236545234,0.8216094776732507,4699
up,1,0.2368819255277515,0.0,0.8183454192705105,0.47391299729040526,0.5648366363774778,11698
up,3,0.009493474986761678,0.0,0.7063933714998751,0.38371294762386876,0.5440071190771333,11698
up,5,0.004282765443148158,0.0,0.6454012386519897,0.3739334082737637,0.5817963053878906,11698
