session_id,first_rf,later_rf_mean,direction,site
2_105_277_1696_2019-04-09 17:29:15.288799,0.420958618636499,0.028289961204829784,down,caltech
2_105_277_1696_2019-04-29 16:14:47.189327,1.2517469278165982,0.8394552208006602,up,caltech
2_105_277_1696_2019-05-13 16:18:39.311390,0.0,0.0,up,caltech
2_105_277_1696_2019-05-14 16:04:00.113522,0.8715488831929696,0.0,up,caltech
2_105_277_1696_2019-05-15 15:47:30.539000,0.8818292448600525,0.267043023820711,up,caltech
2_105_277_1696_2019-05-30 16:01:20.650027,0.0,0.44341160647456657,up,caltech
2_105_277_1696_2019-06-11 15:49:45.249731,0.8612900527064334,0.008364251773742054,up,caltech
2_105_277_1696_2019-06-26 16:18:44.265000,1.4423084714175751,0.9840927866196744,up,caltech
2_105_277_1696_2019-07-02 16:10:22.451907,0.7730341413232172,0.6327198198108862,up,caltech
2_105_277_1696_2019-07-12 16:12:55.130861,0.538818565400844,0.318985865236613,up,caltech
2_105_277_1696_2019-07-22 16:47:12.400385,1.6047197640117994,0.44582593907409773,down,caltech
2_105_277_1696_2019-07-24 01:35:00.099105,0.0,0.10351131636945896,up,caltech
2_105_277_1696_2019-08-05 21:38:15.825417,0.0,0.0,up,caltech
2_105_277_1696_2019-08-06 16:01:06.787067,1.5024711206383239,0.9339736958770505,down,caltech
2_105_277_1696_2019-08-14 16:07:26.907791,1.1559314645922747,0.39795385072073264,down,caltech
2_105_277_1696_2019-08-15 16:07:50.336338,1.1572844014727455,1.5293284575873511,down,caltech
2_105_277_1696_2019-08-18 23:32:35.834976,0.015202223608826206,0.30502262563179755,down,caltech
2_105_277_1696_2019-08-27 18:55:43.183611,0.0014943215780034217,0.0,up,caltech
2_105_277_1696_2019-08-28 17:06:41.353869,0.7053803125540627,0.0,up,caltech
2_105_277_1696_2019-09-02 20:24:57.290054,1.7059969019694623,0.8923562855337966,down,caltech
2_105_277_1696_2019-09-03 17:03:46.734187,1.3124168912848158,1.642160381740636,up,caltech
2_105_277_1696_2019-09-05 16:18:15.471503,0.0,0.09394207487427828,up,caltech
2_105_277_1696_2019-09-16 14:13:09.646788,1.0687623694021264,0.0,down,caltech
2_105_277_1696_2019-09-19 16:19:54.095013,0.0,0.19733939000648926,up,caltech
2_105_277_1696_2019-10-05 21:43:52.536334,1.7387049659201563,0.3827483772878998,up,caltech
2_105_277_1696_2019-10-09 16:53:28.723151,0.7944748026715241,0.03890335648148148,up,caltech
2_105_277_1696_2019-10-17 18:28:39.231340,1.0495616710320168,1.0333939118582463,up,caltech
2_105_277_1696_2019-10-31 16:28:45.844347,1.5830738289866355,1.3375934452633973,down,caltech
2_105_277_1696_2019-11-14 04:03:04.258822,0.8427085606225906,0.2223409546191611,up,caltech
2_105_277_1696_2019-11-14 17:09:41.770550,2.0,0.5091788792129003,down,caltech
2_105_277_1696_2019-11-18 04:54:40.516508,0.6558852298663185,0.8681673756885093,up,caltech
2_105_277_1696_2019-11-18 17:08:48.395654,0.38276656465976683,0.41778204744484154,down,caltech
2_105_277_1696_2019-11-21 04:08:47.187567,1.1270462633451959,0.1771287633652223,up,caltech
2_105_277_1696_2019-11-25 17:39:09.193944,0.006040827662824635,0.266173467216951,up,caltech
2_105_277_1696_2020-01-02 17:12:25.876665,0.0,0.005398110661268524,up,caltech
2_105_277_1696_2020-01-06 16:59:50.363472,1.054544933270259,0.7460685399816558,down,caltech
2_105_277_1696_2020-01-12 23:15:42.608162,0.7999387817569632,0.24121155909865435,up,caltech
2_105_277_1696_2020-01-15 18:24:03.954427,0.002138465650895543,0.003971425716854726,up,caltech
2_105_277_1696_2020-01-20 20:22:36.841711,0.8098878695208971,0.357754952352762,up,caltech
2_105_277_1696_2020-01-30 17:05:08.374076,1.755200520052005,0.12872272700966497,down,caltech
2_105_277_1696_2020-03-12 15:58:13.020142,1.6047267759562844,0.0,down,caltech
2_105_277_1697_2019-04-11 16:12:25.217265,0.0,0.34398234268633365,up,caltech
2_105_277_1697_2019-04-26 15:57:49.452980,0.5815785090537036,0.2530827110691501,up,caltech
2_105_277_1697_2019-04-30 15:15:37.906153,1.0573700716845877,1.643275354379237,up,caltech
2_105_277_1697_2019-05-03 15:57:55.056177,0.7578203834510594,0.4384875802271885,up,caltech
2_105_277_1697_2019-05-06 15:59:01.196233,0.0,0.5195589783142719,up,caltech
2_105_277_1697_2019-05-08 20:53:14.910114,0.722390592799127,0.6354363348882476,up,caltech
2_105_277_1697_2019-05-10 15:59:43.254526,0.0,0.2504458871206428,up,caltech
2_105_277_1697_2019-05-16 07:00:56.008387,0.0,0.0,up,caltech
2_105_277_1697_2019-05-23 20:05:03.744211,0.0,0.0,up,caltech
2_105_277_1697_2019-05-24 15:17:46.849542,0.0,0.0,up,caltech
2_105_277_1697_2019-05-30 15:00:06.635110,0.0,0.36823674080410607,up,caltech
2_105_277_1697_2019-05-31 14:47:44.977920,2.0,0.9260715386987357,down,caltech
2_105_277_1697_2019-06-04 16:01:09.438758,0.678520760427504,0.11273107835703718,up,caltech
2_105_277_1697_2019-06-07 15:48:00.646650,0.6300251256281408,0.4233350190735233,up,caltech
2_105_277_1697_2019-07-11 13:50:27.566800,0.0,0.0,up,caltech
2_105_277_1697_2019-07-17 16:05:28.813118,0.820952641290234,0.21306057129894382,up,caltech
2_105_277_1697_2019-07-19 16:04:01.895512,1.2679354999821624,0.23084301919596478,up,caltech
2_105_277_1697_2019-07-23 15:19:25.581276,0.0,0.0,down,caltech
2_105_277_1697_2019-08-01 15:44:38.204381,1.082170412613217,0.5542550734076556,down,caltech
2_105_277_1697_2019-08-06 13:47:43.443991,0.0,0.0,up,caltech
2_105_277_1697_2019-08-07 14:25:33.254489,0.0,0.0,up,caltech
2_105_277_1697_2019-08-08 14:50:06.868253,1.47142459004603,0.0,down,caltech
2_105_277_1697_2019-08-09 15:51:43.111556,2.0,0.9477267234202542,down,caltech
2_105_277_1697_2019-08-12 16:20:12.883787,2.0,0.46808199811038087,down,caltech
2_105_277_1697_2019-08-22 15:36:11.502012,0.46947170476582245,0.5617670998495908,up,caltech
2_105_277_1697_2019-08-28 16:19:55.167484,1.1036058178874013,0.0006312594840667793,down,caltech
2_105_277_1697_2019-08-30 16:02:10.979425,0.04242810596401761,0.7351855469984686,up,caltech
2_105_277_1697_2019-09-03 16:34:02.080649,2.0,0.2991212696099219,down,caltech
2_105_277_1697_2019-09-06 16:23:35.459599,0.0,0.0,up,caltech
2_105_277_1697_2019-09-10 16:09:04.083320,0.0,0.29603829040174123,down,caltech
2_105_277_1697_2019-09-11 16:09:51.230116,0.6248163265306124,0.17338107098381067,up,caltech
2_105_277_1697_2019-09-13 16:18:35.139172,0.0,0.07628084763948499,up,caltech
2_105_277_1697_2019-09-18 16:38:28.776386,1.27211822987665,0.3664898817542346,down,caltech
2_105_277_1697_2019-10-01 16:11:54.310021,0.623530564263323,0.0013849405933377362,up,caltech
2_105_277_1697_2019-10-08 16:13:11.924922,1.7554034595605426,0.0,down,caltech
2_105_277_1697_2019-10-11 15:44:40.948897,0.0,0.49346000712392063,up,caltech
2_105_277_1697_2019-10-15 16:27:33.369523,0.33529746559978585,0.25934523724625264,down,caltech
2_105_277_1697_2019-10-16 16:08:02.814173,0.12236286919831209,0.1285714285714285,up,caltech
2_105_277_1697_2019-10-17 16:08:22.316049,1.8455267280983616,0.40295388108535524,down,caltech
2_105_277_1697_2019-10-19 23:32:52.609149,1.2887769764667605,0.49595937995774236,up,caltech
2_105_277_1697_2019-10-22 16:07:45.908044,0.353990874429652,0.9667115499700778,down,caltech
2_105_277_1697_2019-10-23 16:11:10.743142,0.7830438466426604,0.5027087764356514,up,caltech
2_105_277_1697_2019-10-24 16:10:11.421360,0.682206250248183,0.4752173741557168,up,caltech
2_105_277_1697_2019-10-25 15:57:58.385317,0.0,0.04746620474152574,up,caltech
2_105_277_1697_2019-10-26 05:12:01.742569,0.0,0.3417554375024902,up,caltech
2_105_277_1697_2019-10-29 16:56:24.853888,0.0,0.0,up,caltech
2_105_277_1697_2019-10-30 16:09:42.767001,2.0,0.41006049851259213,down,caltech
2_105_277_1697_2019-11-02 22:56:06.744785,0.48457398625246456,0.5954016890431693,up,caltech
2_105_277_1697_2019-11-06 16:01:50.423831,0.0,0.0,up,caltech
2_105_277_1697_2019-11-08 16:30:09.600050,0.0,0.0,up,caltech
2_105_277_1697_2019-11-09 21:15:23.903060,2.0,0.7386975850307811,down,caltech
2_105_277_1697_2019-11-13 17:08:41.630285,0.0,0.18155203083308616,up,caltech
2_105_277_1697_2019-11-19 17:10:22.338849,1.602704324149707,1.8544446459569395,down,caltech
2_105_277_1697_2019-11-20 16:11:07.587041,0.0,0.0,up,caltech
2_105_277_1697_2019-11-22 15:55:56.459688,0.0,0.11744022503516174,up,caltech
2_105_277_1697_2019-11-27 17:49:51.455868,0.46087131908027446,0.5090495022573381,up,caltech
2_105_277_1697_2020-01-02 16:36:21.857836,0.0,0.1273562118632541,up,caltech
2_105_277_1697_2020-01-03 16:53:10.197091,2.0,0.4228890488089658,down,caltech
2_105_277_1697_2020-01-08 16:51:49.348188,2.0,0.4200005415652947,down,caltech
2_105_277_1697_2020-01-10 16:50:05.971108,1.534374094465372,0.09534942009412721,down,caltech
2_105_277_1697_2020-01-13 17:00:54.754237,2.0,1.192024006348943,down,caltech
2_105_277_1697_2020-01-14 17:05:30.278681,2.0,0.46235033640721396,down,caltech
2_105_277_1697_2020-01-15 17:00:46.110478,2.0,0.9403532345058253,down,caltech
2_105_277_1697_2020-01-21 17:00:39.394055,0.4898367108459672,0.43676936358580287,up,caltech
2_105_277_1697_2020-01-22 17:05:30.610572,1.2869992783903068,0.28007189961369483,up,caltech
2_105_277_1697_2020-01-23 17:07:08.596636,0.0,0.09268331549569608,up,caltech
2_105_277_1697_2020-01-24 16:50:23.482001,2.0,2.0,down,caltech
2_105_277_1697_2020-01-28 17:03:45.767930,1.1532416424454897,0.46291898255311076,down,caltech
2_105_277_1697_2020-01-29 17:06:03.352624,1.4428884899261918,0.11870721338467735,up,caltech
2_105_277_1697_2020-01-31 16:50:36.570110,2.0,0.29175901829917017,down,caltech
2_105_277_1697_2020-03-02 17:14:27.125181,0.8638646158712585,1.0311347456900248,down,caltech
2_105_277_1697_2020-03-03 17:09:58.812828,0.0,0.050708137564243035,up,caltech
2_105_277_1697_2020-03-04 17:23:38.202670,2.0,0.1189464141821112,down,caltech
2_105_277_1697_2020-03-05 17:12:49.226513,1.6116096598383762,0.2924856267659836,down,caltech
2_105_277_1697_2020-03-06 16:54:20.400560,0.0,0.2550436218781654,up,caltech
2_105_277_1697_2020-03-09 15:55:35.912357,0.0,0.47514250282995657,down,caltech
2_105_277_1697_2020-03-10 16:52:21.885448,0.0,0.38411733446956897,up,caltech
2_105_277_1697_2020-03-11 15:47:40.193180,0.07655027180046875,0.34304520418375917,down,caltech
2_105_277_1697_2020-03-16 15:43:12.432936,0.5064210662861589,0.0,up,caltech
2_105_277_1698_2019-03-30 20:51:06.633643,0.7632525832981865,0.6726881007623465,up,caltech
2_105_277_1698_2019-04-02 04:22:45.015331,0.0,0.0,up,caltech
2_105_277_1698_2019-04-09 17:22:54.283462,0.22605061003163276,0.8311176683162321,down,caltech
2_105_277_1698_2019-04-24 15:08:38.664355,0.35219101468871,0.016996896634041574,up,caltech
2_105_277_1698_2019-05-02 16:34:45.556408,1.1918744971842319,0.7678571428571425,up,caltech
2_105_277_1698_2019-05-14 17:06:57.975607,1.7188671386922112,1.1042534722222224,up,caltech
2_105_277_1698_2019-05-16 16:24:10.999608,0.0,0.2027863715773509,up,caltech
2_105_277_1698_2019-05-21 16:04:12.419310,1.8363581265899505,0.0,down,caltech
2_105_277_1698_2019-05-23 15:57:05.101366,0.0,0.354647065987867,up,caltech
2_105_277_1698_2019-05-24 15:53:19.648128,0.0,0.3848007752964634,up,caltech
2_105_277_1698_2019-06-11 16:08:46.413762,0.9097292601708412,0.0,up,caltech
2_105_277_1698_2019-06-24 15:05:21.467896,0.7560655737704917,0.9662057178371656,up,caltech
2_105_277_1698_2019-07-10 16:18:46.993368,1.0227003149413063,0.09830209222198971,up,caltech
2_105_277_1698_2019-07-12 17:04:24.431423,0.8556836220581129,0.0,up,caltech
2_105_277_1698_2019-07-16 16:22:15.728809,0.7564289796177533,0.16467743117753236,up,caltech
2_105_277_1698_2019-07-22 20:15:20.997998,0.0,0.0,up,caltech
2_105_277_1698_2019-07-29 16:50:06.085249,1.019285202098351,2.0,up,caltech
2_105_277_1698_2019-08-04 20:16:23.731864,2.0,0.45824995452064715,up,caltech
2_105_277_1698_2019-08-06 16:11:47.428786,0.0,0.0,up,caltech
2_105_277_1698_2019-08-22 16:10:13.769281,1.291757293932348,0.25335313274589477,down,caltech
2_105_277_1698_2019-08-23 16:02:04.491334,0.0,0.35663968387269396,up,caltech
2_105_277_1698_2019-08-28 17:04:17.038349,0.5253209120944592,0.4621815262303586,up,caltech
2_105_277_1698_2019-09-04 16:22:26.436852,0.38303798684147317,0.3461192937375381,down,caltech
2_105_277_1698_2019-09-06 00:58:08.097088,2.0,2.0,up,caltech
2_105_277_1698_2019-09-07 17:34:38.480745,1.7938148904073123,1.0216029080837805,down,caltech
2_105_277_1698_2019-09-20 16:07:45.136937,0.5957192982456136,0.2770608574903312,up,caltech
2_105_277_1698_2019-09-22 05:54:20.102867,2.0,0.5800616791988634,down,caltech
2_105_277_1698_2019-09-27 16:07:20.940477,0.0,0.37598154581978444,up,caltech
2_105_277_1698_2019-10-02 16:05:14.728354,1.8400725433599838,0.24964502487712067,down,caltech
2_105_277_1698_2019-10-03 16:10:17.487863,0.6186900752682236,0.4471953349739489,up,caltech
2_105_277_1698_2019-10-19 05:10:51.335561,0.6728666992984172,0.30259884488904326,up,caltech
2_105_277_1698_2019-10-28 05:25:14.337512,2.0,1.8782565712956496,down,caltech
2_105_277_1698_2019-10-31 22:43:14.115916,0.29109401128762563,0.0,down,caltech
2_105_277_1698_2019-11-01 03:35:15.612287,0.7382231565833531,0.22532527004766306,up,caltech
2_105_277_1698_2019-11-09 04:18:13.093667,0.976865100157188,0.3069990232075481,up,caltech
2_105_277_1698_2019-11-11 06:01:14.455521,0.0,0.001418855006531231,up,caltech
2_105_277_1698_2019-11-11 16:41:32.016373,1.4600746718053714,0.446406582623607,up,caltech
2_105_277_1698_2019-11-16 05:51:35.125342,0.0,0.30486776008674416,up,caltech
2_105_277_1698_2019-11-20 20:31:05.575742,0.6669520984007333,0.23784490270113268,up,caltech
2_105_277_1698_2019-11-21 16:13:25.333546,0.0,0.0,up,caltech
2_105_277_1698_2020-01-14 17:06:35.009090,1.2835527232205044,0.0,down,caltech
2_105_277_1698_2020-01-27 17:03:44.915820,0.7793545878693622,0.7196682991985753,up,caltech
2_105_277_1699_2019-04-06 23:24:39.116370,0.5328110185138978,0.0007184818900299281,up,caltech
2_105_277_1699_2019-04-09 16:13:51.207294,0.0,0.5459182200298354,down,caltech
2_105_277_1699_2019-04-27 06:52:44.724677,0.0,0.0,up,caltech
2_105_277_1699_2019-05-15 16:00:56.519312,0.4543562966039675,0.32166849310469015,up,caltech
2_105_277_1699_2019-05-20 16:06:34.047794,0.0,0.1434173894421244,up,caltech
2_105_277_1699_2019-05-22 16:02:13.417353,0.29504448838358854,0.1458170211772971,up,caltech
2_105_277_1699_2019-05-29 16:06:15.609929,0.7216750256813101,0.004938767593926687,up,caltech
2_105_277_1699_2019-06-05 15:54:44.174088,0.0,0.0592895044986542,up,caltech
2_105_277_1699_2019-06-06 16:03:39.897402,2.0,1.015192519251925,down,caltech
2_105_277_1699_2019-06-06 18:32:09.839070,0.8210519106971649,0.2667531297154728,up,caltech
2_105_277_1699_2019-06-12 16:02:08.144908,0.5154602951510892,0.25277458087045257,up,caltech
2_105_277_1699_2019-06-13 15:56:33.008222,0.0,0.2774466685517407,up,caltech
2_105_277_1699_2019-06-14 18:47:54.074065,0.0,0.18802282480487925,up,caltech
2_105_277_1699_2019-06-24 16:29:12.906731,0.0,0.0,up,caltech
2_105_277_1699_2019-06-25 16:11:12.965152,0.0,0.23549439470710207,up,caltech
2_105_277_1699_2019-06-26 16:08:39.054165,0.0,0.3022248322767362,up,caltech
2_105_277_1699_2019-06-28 16:03:47.051943,0.6762236175202364,0.33331249241522415,up,caltech
2_105_277_1699_2019-07-01 16:08:49.924638,0.6508933405522467,0.0011564762670959437,up,caltech
2_105_277_1699_2019-07-02 16:11:07.689634,2.0,0.26239980274315067,down,caltech
2_105_277_1699_2019-07-03 15:54:38.686310,0.07619647355163725,0.09088321911989582,down,caltech
2_105_277_1699_2019-07-09 16:09:55.336136,1.0191967668603183,0.30491923935241727,up,caltech
2_105_277_1699_2019-07-15 16:10:29.751083,0.5686265627831127,0.2879535351672862,up,caltech
2_105_277_1699_2019-07-18 16:14:10.031680,0.0,0.1142437174016121,up,caltech
2_105_277_1699_2019-07-24 16:14:12.983649,0.0,0.6079030272683646,up,caltech
2_105_277_1699_2019-08-06 15:54:52.693670,0.48423834392499826,0.0,up,caltech
2_105_277_1699_2019-08-14 15:44:57.975379,0.740463922346076,0.5576262515530225,up,caltech
2_105_277_1699_2019-08-15 15:53:12.586087,0.0,0.0,up,caltech
2_105_277_1699_2019-08-16 15:51:57.566125,0.0,0.27306820590585196,up,caltech
2_105_277_1699_2019-08-17 18:49:56.683126,0.632722484362998,0.8347807957574197,up,caltech
2_105_277_1699_2019-08-19 16:15:15.969939,0.7125254426473484,0.37937895948286054,down,caltech
2_105_277_1699_2019-08-20 16:12:38.175396,0.7998553579889776,0.3774634302189262,down,caltech
2_105_277_1699_2019-08-21 16:13:44.953735,2.0,2.0,down,caltech
2_105_277_1699_2019-08-27 16:21:32.965411,2.0,0.5706137300372206,down,caltech
2_105_277_1699_2019-09-09 16:20:51.726074,0.0,0.4024398440650623,up,caltech
2_105_277_1699_2019-09-23 16:19:22.576241,0.6208811325360023,0.0,up,caltech
2_105_277_1699_2019-09-30 16:05:33.692551,0.9663164648327848,1.0366818873668189,up,caltech
2_105_277_1699_2019-10-07 16:07:50.119833,0.0,0.0059067972692193466,up,caltech
2_105_277_1699_2019-10-08 21:15:32.033705,0.7937547879577859,1.2839784114267625,up,caltech
2_105_277_1699_2019-10-14 06:29:03.290045,2.0,0.0,up,caltech
2_105_277_1699_2019-10-19 19:39:12.676216,1.1372231856990396,0.0,down,caltech
2_105_277_1699_2019-10-21 15:58:43.254535,0.0,0.0,up,caltech
2_105_277_1699_2019-11-05 07:56:50.816902,0.0,0.0,up,caltech
2_105_277_1699_2019-11-12 17:09:02.328368,0.0,0.2629079606285614,up,caltech
2_105_277_1699_2019-11-22 19:46:05.711840,1.4212926788257636,1.861567996679292,down,caltech
2_105_277_1699_2019-11-25 17:00:53.882038,0.00037352060145084005,0.43484826945286337,down,caltech
2_105_277_1699_2020-01-07 16:54:36.730025,1.6506113961530637,0.3343323277230867,up,caltech
2_105_277_1699_2020-01-16 15:40:16.679290,1.3493399339933998,0.5614379797030673,up,caltech
2_105_277_1699_2020-01-17 16:47:59.202225,1.6112939290385182,2.0,down,caltech
2_105_277_1699_2020-01-20 16:32:32.123876,0.0,0.0,up,caltech
2_105_277_1699_2020-01-22 04:49:18.592588,0.0,0.0,up,caltech
2_105_277_1699_2020-03-12 15:45:15.785459,0.0,0.07272743152599219,down,caltech
2_105_277_1699_2020-03-17 15:47:54.597372,0.46747223239350677,0.2222222222222222,up,caltech
2_137_440_2991_2020-05-06 12:52:00.728419,0.010682402784082546,0.0,down,caltech
2_137_441_3010_2020-03-09 15:20:33.289116,0.0,1.0,up,caltech
