test,n,corr,bias_kw,mae_kw,p95_absdiff_kw,coverage_2kw,coverage_5kw,overhead_const_kw,overhead_prop_pct,resid_std_kw,resid_p95_kw,closed_active_rows_pct,closed_max_seg_s,idle_station_gt50kW_rows
test_1,259201,0.99973,-16.41,17.3,62.0,0.0647,0.1727,-8.0,-1.074,5.84,12.4,6.18,8,3
test_2,259201,0.99972,-15.46,16.39,69.0,0.0632,0.1632,-8.91,-0.523,6.3,13.34,6.11,12,42
