name,policy,phase,emur_numer,emur_denom,emur_rate,noise_numer,noise_denom,noise_rate,resid_full_mean_kw,resid_full_energy_kwh,resid_steady_mean_kw,resid_steady_energy_kwh,bound_err_mean_kw,bad_cmd_rate,cascade_count,recovery_delay_s,recovery_steps,recovery_false_steps,pcc_resid_full_mean_kw
RB_up_R1_10pct_r4,B2_error_rolling,robustness,0,0,,0,313,0.0,10.0,0.002777777777777778,10.0,0.002777777777777778,,0.0,0,,0,0,4.132231404958677
RB_down_R2_30pct_r4,A,robustness,0,0,,0,313,0.0,6.263884157005648,0.0017399678213904576,0.19196593555358915,5.33238709871081e-05,0.6067390822503853,0.0,0,,0,0,2.735961767010589
RB_down_R2_30pct_r4,B0_no_gate,robustness,0,0,,0,313,0.0,0.571946213313651,0.00015887394814268084,0.19196593555358915,5.33238709871081e-05,0.6067390822503853,0.0,0,,0,0,0.3839212944105902
RB_down_R2_30pct_r4,B1_static_derate,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,35.0,0.0,0,,0,0,7.43801652892562
RB_down_R2_30pct_r4,B2_error_rolling,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,,0.0,0,,0,0,7.43801652892562
RB_down_R2_30pct_r3,A,robustness,0,0,,0,313,0.0,6.225600084599174,0.0017293333568331039,0.16352471749499556,4.5423532637498765e-05,0.37227690219128434,0.0,0,,0,0,2.7255834268414008
RB_down_R2_30pct_r3,B0_no_gate,robustness,0,0,,0,313,0.0,0.5118911051402866,0.0001421919736500796,0.16352471749499556,4.5423532637498765e-05,0.3894217019962967,0.0,0,,0,0,0.3645466584699592
RB_down_R2_30pct_r3,B1_static_derate,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,35.0,0.0,0,,0,0,7.43801652892562
RB_down_R2_30pct_r3,B2_error_rolling,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,,0.0,0,,0,0,7.43801652892562
RB_up_R0_20pct_r4,A,robustness,0,0,,0,313,0.0,6.94778519108872,0.0019299403308579777,0.23501617312634807,6.528227031287446e-05,0.440676320713839,0.0,0,,0,0,3.0373220876715767
RB_up_R0_20pct_r4,B0_no_gate,robustness,0,0,,0,313,0.0,0.6166545505194752,0.0001712929306998542,0.23501617312634807,6.528227031287446e-05,0.5134697309493694,0.0,0,,0,0,0.42115240148593874
RB_up_R0_20pct_r4,B1_static_derate,robustness,0,0,,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_up_R0_20pct_r4,B2_error_rolling,robustness,0,0,,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,,0.0,0,,0,0,8.264462809917354
RB_extra_ts_misalign,A,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_extra_ts_misalign,B0_no_gate,robustness,50,50,1.0,0,313,0.0,0.6034910076721622,0.00016763639102004507,0.21241338231569756,5.900371730991599e-05,0.5429432279166904,0.0,0,,0,0,0.4174091479759595
RB_extra_ts_misalign,B1_static_derate,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_extra_ts_misalign,B2_error_rolling,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,,0.0,0,,0,0,8.264462809917354
RB_up_R0_10pct_r1,A,robustness,0,0,,0,313,0.0,3.516931380890959,0.0009769253835808219,0.15266960932216364,4.2408224811712125e-05,0.48112305948934875,0.0,0,,0,0,1.5365022331722231
RB_up_R0_10pct_r1,B0_no_gate,robustness,0,0,,0,313,0.0,0.36192121656041804,0.00010053367126678278,0.15266960932216364,4.2408224811712125e-05,0.48112305948934875,0.0,0,,0,0,0.23277902477117318
RB_up_R0_10pct_r1,B1_static_derate,robustness,0,0,,0,313,0.0,10.0,0.002777777777777778,10.0,0.002777777777777778,70.0,0.0,0,,0,0,4.132231404958677
RB_up_R0_10pct_r1,B2_error_rolling,robustness,0,0,,0,313,0.0,10.0,0.002777777777777778,10.0,0.002777777777777778,,0.0,0,,0,0,4.132231404958677
RB_down_R2_30pct_r2,A,robustness,0,0,,0,313,0.0,6.219307730145174,0.0017275854805958817,0.14007368528500067,3.8909357023611294e-05,0.4026688044779725,0.0,0,,0,0,2.7214278455336256
RB_down_R2_30pct_r2,B0_no_gate,robustness,0,0,,0,313,0.0,0.5133481283921659,0.0001425967023311572,0.14007368528500067,3.8909357023611294e-05,0.4026688044779725,0.0,0,,0,0,0.3635932993546969
RB_down_R2_30pct_r2,B1_static_derate,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,35.0,0.0,0,,0,0,7.43801652892562
RB_down_R2_30pct_r2,B2_error_rolling,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,,0.0,0,,0,0,7.43801652892562
RB_down_R2_30pct_r1,A,robustness,0,0,,0,313,0.0,6.2551998618551865,0.0017375555171819962,0.20344822276421412,5.65133952122817e-05,0.48195426695454957,0.0,0,,0,0,2.7325858069713287
RB_down_R2_30pct_r1,B0_no_gate,robustness,0,0,,0,313,0.0,0.5399858384578611,0.00014999606623829475,0.20344822276421412,5.65133952122817e-05,0.48195426695454957,0.0,0,,0,0,0.3709271196170619
RB_down_R2_30pct_r1,B1_static_derate,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,35.0,0.0,0,,0,0,7.43801652892562
RB_down_R2_30pct_r1,B2_error_rolling,robustness,0,0,,0,313,0.0,18.0,0.005,18.0,0.005,,0.0,0,,0,0,7.43801652892562
RB_up_R1_20pct_r0,A,robustness,0,0,,0,313,0.0,6.923266443732124,0.0019231295677033678,0.18204678232952007,5.056855064708891e-05,0.3588212121650659,0.0,0,,0,0,3.0276852975800317
