site,garage,cycle,n_slack_A0_avg,slack_A0_avg_kwh,headroom_A0_avg_kwh,n_budget_A0_avg,n_active,candidate_A0_avg,candidate_energy_A0_avg_kwh,supported_ref_energy_A0_avg_kwh,n_slack_A1_pilot,slack_A1_pilot_kwh,headroom_A1_pilot_kwh,n_budget_A1_pilot,candidate_A1_pilot,candidate_energy_A1_pilot_kwh,supported_ref_energy_A1_pilot_kwh,n_slack_A2_prev_actual,slack_A2_prev_actual_kwh,headroom_A2_prev_actual_kwh,n_budget_A2_prev_actual,candidate_A2_prev_actual,candidate_energy_A2_prev_actual_kwh,supported_ref_energy_A2_prev_actual_kwh,n_slack_A3_rolling_quantile,slack_A3_rolling_quantile_kwh,headroom_A3_rolling_quantile_kwh,n_budget_A3_rolling_quantile,candidate_A3_rolling_quantile,candidate_energy_A3_rolling_quantile_kwh,supported_ref_energy_A3_rolling_quantile_kwh,n_slack_A4_min_pilot_quantile,slack_A4_min_pilot_quantile_kwh,headroom_A4_min_pilot_quantile_kwh,n_budget_A4_min_pilot_quantile,candidate_A4_min_pilot_quantile,candidate_energy_A4_min_pilot_quantile_kwh,supported_ref_energy_A4_min_pilot_quantile_kwh,day,month,month_conn,pool,proxy,_best,best_energy_kwh,fail_type
jpl,Arroyo_Garage_01,2019-04-29 21:20:00+00:00,0,0.0,0.0,0,17,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,16,24.525853501190475,14.396924402380954,51,True,2.0438211250992064,1.199743700198413,20,30.914241688109243,7.26954089165266,51,True,2.576186807342437,0.6057950743043884,0,0.0,0.0,0,False,0.0,0.0,2019-04-29,2019-04,2019-04,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,2.0438211250992064,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-10-17 15:00:00+00:00,0,0.0,0.0,0,42,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,17,24.095560704709914,37.38995884313725,47,True,2.0079633920591595,2.0079633920591595,29,57.122558817754246,3.9592308340943028,47,True,4.760213234812854,0.3299359028411919,0,0.0,0.0,0,False,0.0,0.0,2019-10-17,2019-10,2019-10,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,2.0079633920591595,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-08-19 20:35:00+00:00,0,0.0,0.0,0,15,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,11,23.54127430728291,49.372752310059546,52,True,1.9617728589402428,1.9617728589402428,19,62.540838358578796,10.795559234467127,52,True,5.211736529881566,0.899629936205594,0,0.0,0.0,0,False,0.0,0.0,2019-08-19,2019-08,2019-08,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.9617728589402428,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-04-29 20:40:00+00:00,0,0.0,0.0,0,20,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,15,22.790853816666665,19.23803474047619,52,True,1.8992378180555556,1.6031695617063493,20,33.630602414652515,7.682433671581247,52,True,2.802550201221043,0.640202805965104,0,0.0,0.0,0,False,0.0,0.0,2019-04-29,2019-04,2019-04,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.8992378180555556,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-03-05 21:40:00+00:00,0,0.0,0.0,0,14,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,11,22.68527310882353,26.805365359803922,50,True,1.8904394257352943,1.8904394257352943,15,43.18729104527311,5.211536805903358,50,True,3.5989409204394263,0.43429473382527983,0,0.0,0.0,0,False,0.0,0.0,2019-03-05,2019-03,2019-03,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.8904394257352943,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-10-17 16:40:00+00:00,0,0.0,0.0,0,40,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,13,22.667177783251713,17.311097486578223,50,True,1.8889314819376428,1.442591457214852,22,37.425786913716415,3.891361489812015,50,True,3.1188155761430347,0.3242801241510012,0,0.0,0.0,0,False,0.0,0.0,2019-10-17,2019-10,2019-10,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.8889314819376428,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-03-07 19:35:00+00:00,0,0.0,0.0,0,15,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,10,22.542142350000002,62.97081110833333,51,True,1.8785118625000004,1.8785118625000004,26,78.4937856660154,8.10695768648459,51,True,6.541148805501283,0.6755798072070491,0,0.0,0.0,0,False,0.0,0.0,2019-03-07,2019-03,2019-03,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.8785118625000004,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-08-20 17:25:00+00:00,0,0.0,0.0,0,33,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,16,22.160024089393946,21.265225353184313,52,True,1.8466686741161622,1.7721021127653596,21,33.90136273469531,10.491621489307354,52,True,2.8251135612246094,0.8743017907756129,0,0.0,0.0,0,False,0.0,0.0,2019-08-20,2019-08,2019-08,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.8466686741161622,candidate_window_cycle
caltech,California_Garage_01,2018-11-26 22:05:00+00:00,38,246.80928577747233,0.0,38,15,True,20.567440481456025,0.0,29,81.50368893885526,31.134402981357148,38,True,6.7919740782379385,2.5945335817797623,9,22.106247075461905,33.251047430129304,38,True,1.8421872562884922,1.8421872562884922,14,49.488188128444754,5.3363731825531175,38,True,4.124015677370396,0.4446977652127598,10,30.0134691491009,31.622526427600448,38,True,2.5011224290917418,2.5011224290917418,2018-11-26,2018-11,2018-11,caltech.California_Garage_01,A2_prev_actual,True,1.8421872562884922,candidate_window_cycle
jpl,Arroyo_Garage_01,2019-10-17 14:50:00+00:00,0,0.0,0.0,0,41,False,0.0,0.0,0,0.0,0.0,0,False,0.0,0.0,17,21.543958671728436,29.826123314350355,46,True,1.795329889310703,1.795329889310703,26,47.48531394883215,3.6273625972175516,46,True,3.9571094957360127,0.30228021643479597,0,0.0,0.0,0,False,0.0,0.0,2019-10-17,2019-10,2019-10,jpl.Arroyo_Garage_01.current_only,A2_prev_actual,True,1.795329889310703,candidate_window_cycle
