pool,month,n_valid_cycles,opp_rate_A0_avg,opp_rate_A1_pilot,opp_rate_A2_prev_actual,opp_rate_A3_rolling_quantile,opp_rate_A4_min_pilot_quantile,opp_energy_A0_avg_kwh,opp_energy_A1_pilot_kwh,opp_energy_A2_prev_actual_kwh,opp_energy_A3_rolling_quantile_kwh,opp_energy_A4_min_pilot_quantile_kwh
caltech.California_Garage_01,2018-11,4719,0.6944267853358762,0.532316168679805,0.07967789785971605,0.21381648654375926,0.3411739775376139,1777.133768661238,1259.1326438306744,47.581112964324234,236.59419806720865,437.092120212822
caltech.California_Garage_01,2019-03,4471,0.6864236188772087,0.5562513978975621,0.058823529411764705,0.2010735853276672,0.31201073585327666,1122.9002156522224,1022.7708007149333,23.749467301409506,142.58774014282324,295.81874474264407
caltech.California_Garage_01,2019-04,4148,0.6743008678881388,0.6063162970106075,0.07063645130183221,0.19117647058823528,0.3490838958534233,1122.476046040104,1039.0677967077822,28.351998193935323,156.9147321303525,331.91967234368
caltech.California_Garage_01,2019-05,3765,0.7436918990703851,0.6470119521912351,0.07543160690571049,0.2042496679946879,0.38751660026560425,1111.7008337577317,1063.0582678146193,27.613863881665367,137.02917024337813,341.86598960643573
caltech.California_Garage_01,2019-06,4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.09763069270531395,0.0
caltech.California_Garage_01,2019-08,3326,0.7101623571858088,0.6325917017438364,0.079374624173181,0.19422730006013228,0.3773301262778112,926.9941455074837,904.4964134280383,22.712731589449255,131.75344223908897,274.17253218318467
caltech.California_Garage_01,2019-10,3679,0.7265561293829845,0.6447404185920087,0.07882576787170427,0.14378907311769504,0.35009513454743135,1017.4431933266178,974.3094151736345,26.116231603808366,88.77785008007572,247.09722287469128
jpl.Arroyo_Garage_01,2018-11,3196,0.0,0.0,0.11045056320400501,0.34386733416770965,0.0,0.0,0.0,43.31161439358665,360.1407802265136,0.0
jpl.Arroyo_Garage_01,2018-12,20,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.2150210833333333,0.13080583055555556,0.0
jpl.Arroyo_Garage_01,2019-03,3833,0.0,0.0,0.14896947560657448,0.4283850769632142,0.0,0.0,0.0,83.99366815780098,734.5069904031786,0.0
jpl.Arroyo_Garage_01,2019-04,3855,0.0,0.0,0.1795071335927367,0.51621271076524,0.0,0.0,0.0,105.35854018389261,932.9340795485404,0.0
jpl.Arroyo_Garage_01,2019-05,4298,0.0,0.0,0.13634248487668682,0.4532340623545835,0.0,0.0,0.0,79.2443453793718,831.0327528219909,0.0
jpl.Arroyo_Garage_01,2019-06,23,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.06577746885964919,0.0
jpl.Arroyo_Garage_01,2019-08,3808,0.0,0.0,0.1486344537815126,0.5112920168067226,0.0,0.0,0.0,84.34717416209608,918.7415661042612,0.0
jpl.Arroyo_Garage_01,2019-10,4577,0.0,0.0,0.1201660476294516,0.401573082805331,0.0,0.0,0.0,79.73689013007115,730.4790638817146,0.0
jpl.Arroyo_Garage_01,2019-11,21,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.14813411041666663,0.08353009722222225,0.0
