pool,split,concurrency_bucket,n_candidate_true,n_candidate_false,median_median_actual_kw_true,median_median_actual_kw_false,n_median_actual_kw_true_nonnull,n_median_actual_kw_false_nonnull,direction_median_actual_kw,obs_class_median_actual_kw,pre_action_median_actual_kw,median_median_recent_actual_q90_true,median_median_recent_actual_q90_false,n_median_recent_actual_q90_true_nonnull,n_median_recent_actual_q90_false_nonnull,direction_median_recent_actual_q90,obs_class_median_recent_actual_q90,pre_action_median_recent_actual_q90,median_median_recent_actual_var_true,median_median_recent_actual_var_false,n_median_recent_actual_var_true_nonnull,n_median_recent_actual_var_false_nonnull,direction_median_recent_actual_var,obs_class_median_recent_actual_var,pre_action_median_recent_actual_var,median_median_lagged_pilot_actual_ratio_true,median_median_lagged_pilot_actual_ratio_false,n_median_lagged_pilot_actual_ratio_true_nonnull,n_median_lagged_pilot_actual_ratio_false_nonnull,direction_median_lagged_pilot_actual_ratio,obs_class_median_lagged_pilot_actual_ratio,pre_action_median_lagged_pilot_actual_ratio,median_std_actual_kw_true,median_std_actual_kw_false,n_std_actual_kw_true_nonnull,n_std_actual_kw_false_nonnull,direction_std_actual_kw,obs_class_std_actual_kw,pre_action_std_actual_kw,median_median_elapsed_true,median_median_elapsed_false,n_median_elapsed_true_nonnull,n_median_elapsed_false_nonnull,direction_median_elapsed,obs_class_median_elapsed,pre_action_median_elapsed,median_pilot_available_at_start_true,median_pilot_available_at_start_false,n_pilot_available_at_start_true_nonnull,n_pilot_available_at_start_false_nonnull,direction_pilot_available_at_start,obs_class_pilot_available_at_start,pre_action_pilot_available_at_start,median_median_response_persistence_lagged_true,median_median_response_persistence_lagged_false,n_median_response_persistence_lagged_true_nonnull,n_median_response_persistence_lagged_false_nonnull,direction_median_response_persistence_lagged,obs_class_median_response_persistence_lagged,pre_action_median_response_persistence_lagged,median_lagged_severe_gap_rate_true,median_lagged_severe_gap_rate_false,n_lagged_severe_gap_rate_true_nonnull,n_lagged_severe_gap_rate_false_nonnull,direction_lagged_severe_gap_rate,obs_class_lagged_severe_gap_rate,pre_action_lagged_severe_gap_rate,median_history_coverage_true,median_history_coverage_false,n_history_coverage_true_nonnull,n_history_coverage_false_nonnull,direction_history_coverage,obs_class_history_coverage,pre_action_history_coverage
caltech,test,1,0,4646,,0.397148,0,4646,nan,definitional,false,,2.21839,0,4646,nan,baseline_related_history,true,,0.003677,0,4646,nan,baseline_related_history,true,,2.281581,0,4646,nan,baseline_related_history,true,,2.371428,0,1006,nan,baseline_related_history,false,,196.658333,0,4646,nan,independent_operational,true,,1.0,0,4646,nan,independent_operational,true,,0.000475,0,4646,nan,independent_operational,true,,0.0,0,4646,nan,independent_operational,true,,1.0,0,4646,nan,independent_operational,true
caltech,test,2-3,63,211,3.545136,5.04809,63,211,true<false,definitional,false,5.003021,5.199177,63,211,true<false,baseline_related_history,true,0.185907,0.033676,63,211,true>false,baseline_related_history,true,1.308255,1.208494,63,211,true>false,baseline_related_history,true,3.226548,2.278787,63,211,true>false,baseline_related_history,false,91.783333,67.85,63,211,true>false,independent_operational,true,1.0,1.0,63,211,equal,independent_operational,true,0.197303,0.045364,63,211,true>false,independent_operational,true,0.0,0.0,63,211,equal,independent_operational,true,1.0,1.0,63,211,equal,independent_operational,true
jpl,train,1,0,21403,,0.0,0,21403,nan,definitional,false,,1.49084,0,21403,nan,baseline_related_history,true,,0.000578,0,21403,nan,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,,1.693506,0,8376,nan,baseline_related_history,false,,234.066667,0,21403,nan,independent_operational,true,,0.0,0,21403,nan,independent_operational,true,,0.0,0,21403,nan,independent_operational,true,,0.0,0,21403,nan,independent_operational,true,,1.0,0,21403,nan,independent_operational,true
jpl,train,2-3,1118,4818,0.698176,2.947611,1118,4818,true<false,definitional,false,2.904635,3.060962,1118,4818,true<false,baseline_related_history,true,0.003108,0.006034,1118,4818,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.112621,2.153278,1118,4818,true<false,baseline_related_history,false,225.791667,161.829167,1118,4818,true>false,independent_operational,true,0.0,0.0,1118,4818,equal,independent_operational,true,0.002575,0.003689,1118,4818,true<false,independent_operational,true,0.0,0.0,1118,4818,equal,independent_operational,true,1.0,1.0,1118,4818,equal,independent_operational,true
jpl,train,4-7,2453,3379,0.0,0.0,2453,3379,equal,definitional,false,0.0,0.0,2453,3379,equal,baseline_related_history,true,0.0,2e-06,2453,3379,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,1.971233,2.099549,2453,3379,true<false,baseline_related_history,false,369.85,308.483333,2453,3379,true>false,independent_operational,true,0.0,0.0,2453,3379,equal,independent_operational,true,0.0,0.0,2453,3379,equal,independent_operational,true,0.0,0.0,2453,3379,equal,independent_operational,true,1.0,1.0,2453,3379,equal,independent_operational,true
jpl,train,8-15,6852,2884,0.0,0.0,6852,2884,equal,definitional,false,0.0,0.0,6852,2884,equal,baseline_related_history,true,0.0,0.0,6852,2884,true>false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.087568,2.153225,6852,2884,true<false,baseline_related_history,false,377.704167,395.341667,6852,2884,true<false,independent_operational,true,0.0,0.0,6852,2884,equal,independent_operational,true,0.0,0.0,6852,2884,equal,independent_operational,true,0.0,0.0,6852,2884,equal,independent_operational,true,1.0,1.0,6852,2884,equal,independent_operational,true
jpl,train,16+,11773,1749,1.816398,1.987492,11773,1749,true<false,definitional,false,2.797688,2.874113,11773,1749,true<false,baseline_related_history,true,0.047387,0.057611,11773,1749,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.079032,1.973022,11773,1749,true>false,baseline_related_history,false,170.816667,114.433333,11773,1749,true>false,independent_operational,true,0.0,0.0,11773,1749,equal,independent_operational,true,0.009582,0.009771,11773,1749,true<false,independent_operational,true,0.0,0.0,11773,1749,equal,independent_operational,true,1.0,1.0,11773,1749,equal,independent_operational,true
jpl,validation,1,0,7959,,0.473592,0,7959,nan,definitional,false,,2.876661,0,7959,nan,baseline_related_history,true,,0.004433,0,7959,nan,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,,2.086427,0,3076,nan,baseline_related_history,false,,199.025,0,7959,nan,independent_operational,true,,0.0,0,7959,nan,independent_operational,true,,0.000634,0,7959,nan,independent_operational,true,,0.0,0,7959,nan,independent_operational,true,,1.0,0,7959,nan,independent_operational,true
jpl,validation,2-3,387,2559,1.965066,3.052288,387,2559,true<false,definitional,false,4.307146,3.84099,387,2559,true>false,baseline_related_history,true,0.033954,0.04682,387,2559,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.569502,2.465751,387,2559,true>false,baseline_related_history,false,173.708333,135.033333,387,2559,true>false,independent_operational,true,0.0,0.0,387,2559,equal,independent_operational,true,0.024585,0.009001,387,2559,true>false,independent_operational,true,0.0,0.0,387,2559,equal,independent_operational,true,1.0,1.0,387,2559,equal,independent_operational,true
jpl,validation,4-7,721,1327,0.032631,2.72086,721,1327,true<false,definitional,false,2.568455,3.024181,721,1327,true<false,baseline_related_history,true,0.003813,0.010846,721,1327,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.340646,2.410523,721,1327,true<false,baseline_related_history,false,248.525,190.958333,721,1327,true>false,independent_operational,true,0.0,0.0,721,1327,equal,independent_operational,true,0.000723,0.004534,721,1327,true<false,independent_operational,true,0.0,0.0,721,1327,equal,independent_operational,true,1.0,1.0,721,1327,equal,independent_operational,true
jpl,validation,8-15,2578,1144,0.0,0.0,2578,1144,equal,definitional,false,0.0,0.0,2578,1144,equal,baseline_related_history,true,0.0,0.0,2578,1144,true>false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.187437,2.27912,2578,1144,true<false,baseline_related_history,false,389.85,403.233333,2578,1144,true<false,independent_operational,true,0.0,0.0,2578,1144,equal,independent_operational,true,0.0,0.0,2578,1144,equal,independent_operational,true,0.0,0.0,2578,1144,equal,independent_operational,true,1.0,1.0,2578,1144,equal,independent_operational,true
jpl,validation,16+,4012,653,1.90023,2.132442,4012,653,true<false,definitional,false,2.78241,2.845318,4012,653,true<false,baseline_related_history,true,0.056224,0.074726,4012,653,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.103838,2.048902,4012,653,true>false,baseline_related_history,false,175.55,133.383333,4012,653,true>false,independent_operational,true,0.0,0.0,4012,653,equal,independent_operational,true,0.022414,0.022436,4012,653,true<false,independent_operational,true,0.0,0.0,4012,653,equal,independent_operational,true,1.0,1.0,4012,653,equal,independent_operational,true
jpl,test,1,0,5306,,0.0,0,5306,nan,definitional,false,,0.0,0,5306,nan,baseline_related_history,true,,0.0,0,5306,nan,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,,1.441344,0,2538,nan,baseline_related_history,false,,324.245833,0,5306,nan,independent_operational,true,,0.0,0,5306,nan,independent_operational,true,,0.0,0,5306,nan,independent_operational,true,,0.0,0,5306,nan,independent_operational,true,,1.0,0,5306,nan,independent_operational,true
jpl,test,2-3,370,1796,0.063013,2.853534,370,1796,true<false,definitional,false,2.889396,3.052805,370,1796,true<false,baseline_related_history,true,0.00373,0.007539,370,1796,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.510716,2.534986,370,1796,true<false,baseline_related_history,false,250.095833,178.3875,370,1796,true>false,independent_operational,true,0.0,0.0,370,1796,equal,independent_operational,true,0.002393,0.003252,370,1796,true<false,independent_operational,true,0.0,0.0,370,1796,equal,independent_operational,true,1.0,1.0,370,1796,equal,independent_operational,true
jpl,test,4-7,662,1265,1.670805,3.056286,662,1265,true<false,definitional,false,3.415013,4.300095,662,1265,true<false,baseline_related_history,true,0.019309,0.029905,662,1265,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.399873,2.43573,662,1265,true<false,baseline_related_history,false,207.925,147.9,662,1265,true>false,independent_operational,true,0.0,0.0,662,1265,equal,independent_operational,true,0.009519,0.010807,662,1265,true<false,independent_operational,true,0.0,0.0,662,1265,equal,independent_operational,true,1.0,1.0,662,1265,equal,independent_operational,true
jpl,test,8-15,1122,610,0.0,2.405824,1122,610,true<false,definitional,false,0.602022,3.019634,1122,610,true<false,baseline_related_history,true,0.001625,0.011146,1122,610,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.178319,2.194188,1122,610,true<false,baseline_related_history,false,305.05,197.8625,1122,610,true>false,independent_operational,true,0.0,0.0,1122,610,equal,independent_operational,true,0.0,0.005917,1122,610,true<false,independent_operational,true,0.0,0.0,1122,610,equal,independent_operational,true,1.0,1.0,1122,610,equal,independent_operational,true
jpl,test,16+,1378,213,1.84798,1.787063,1378,213,true>false,definitional,false,2.728222,2.76671,1378,213,true<false,baseline_related_history,true,0.052381,0.064846,1378,213,true<false,baseline_related_history,true,,,0,0,nan,baseline_related_history,true,2.111521,2.106574,1378,213,true>false,baseline_related_history,false,176.316667,127.891667,1378,213,true>false,independent_operational,true,0.0,0.0,1378,213,equal,independent_operational,true,0.020118,0.011866,1378,213,true>false,independent_operational,true,0.0,0.0,1378,213,equal,independent_operational,true,1.0,1.0,1378,213,equal,independent_operational,true
