layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
opportunity,jpl,test,current_only,n_active_x_elapsed,1|60-119,pre_existing_cross,316,,,321,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,1|120-239,pre_existing_cross,539,,,550,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,1|240+,pre_existing_cross,1165,,,1152,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,2-3|<30,pre_existing_cross,281,,,254,8,0.031496,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,2-3|30-59,pre_existing_cross,172,,,186,8,0.043011,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,2-3|60-119,pre_existing_cross,267,,,268,27,0.100746,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,2-3|120-239,pre_existing_cross,646,,,648,129,0.199074,0.031237,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,2-3|240+,pre_existing_cross,816,,,810,198,0.244444,0.037485,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,4-7|<30,pre_existing_cross,191,,,155,22,0.141935,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,4-7|30-59,pre_existing_cross,242,,,240,41,0.170833,0.007636,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,4-7|60-119,pre_existing_cross,290,,,310,100,0.322581,0.022752,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,4-7|120-239,pre_existing_cross,525,,,527,213,0.404175,0.038576,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,4-7|240+,pre_existing_cross,662,,,695,286,0.411511,0.032072,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,8-15|<30,pre_existing_cross,107,,,98,64,0.653061,0.037756,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,8-15|30-59,pre_existing_cross,99,,,84,51,0.607143,0.034745,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,8-15|60-119,pre_existing_cross,263,,,231,116,0.502165,0.031744,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,8-15|120-239,pre_existing_cross,435,,,405,235,0.580247,0.034251,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,8-15|240+,pre_existing_cross,918,,,914,656,0.717724,0.049835,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,16+|<30,pre_existing_cross,74,,,53,36,0.679245,0.030749,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,16+|30-59,pre_existing_cross,269,,,259,198,0.764479,0.04364,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,16+|60-119,pre_existing_cross,260,,,259,233,0.899614,0.039653,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,16+|120-239,pre_existing_cross,508,,,505,462,0.914851,0.041451,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,16+|240+,pre_existing_cross,570,,,515,449,0.871845,0.045665,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
