layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
opportunity,caltech,test,measured_pilot,n_active_x_elapsed,2-3|30-59,pre_existing_cross,95,2.0,0.021053,79,19,0.240506,0.016082,0.759494,0.670886,bucket>pooled,hypothesis,
opportunity,caltech,test,measured_pilot,n_active_x_elapsed,2-3|60-119,pre_existing_cross,104,3.0,0.028846,94,22,0.234043,0.031434,0.765957,0.542553,bucket>pooled,hypothesis,
opportunity,caltech,test,measured_pilot,n_active_x_elapsed,2-3|120-239,pre_existing_cross,65,0.0,0.0,53,7,0.132075,0.009399,0.867925,0.773585,bucket>pooled,hypothesis,
opportunity,caltech,test,measured_pilot,n_active_x_elapsed,2-3|240+,pre_existing_cross,16,0.0,0.0,14,11,0.785714,0.140579,0.214286,0.285714,bucket>pooled,hypothesis,
opportunity,jpl,train,current_only,n_active,1,pre_existing,11108,,,10825,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active,2-3,pre_existing,6098,,,5936,1118,0.188342,0.025765,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active,4-7,pre_existing,5437,,,5832,2453,0.42061,0.038969,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active,8-15,pre_existing,9843,,,9736,6852,0.70378,0.048719,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active,16+,pre_existing,14500,,,13522,11773,0.870655,0.040463,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,elapsed,<30,pre_existing,4884,,,4542,1510,0.332453,0.028665,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,elapsed,30-59,pre_existing,4189,,,4175,2050,0.491018,0.036375,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,elapsed,60-119,pre_existing,6274,,,6254,2333,0.373041,0.025337,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,elapsed,120-239,pre_existing,13905,,,13890,5384,0.387617,0.034722,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,elapsed,240+,pre_existing,27545,,,27525,10918,0.396658,0.041929,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,recent_actual_q90,Q1,train_quartile_ecdf,20176,,,20176,7060,0.349921,0.041268,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,recent_actual_q90,Q2,train_quartile_ecdf,8040,,,8040,3236,0.402488,0.037548,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,recent_actual_q90,Q3,train_quartile_ecdf,14106,,,14106,7590,0.538069,0.035544,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,recent_actual_q90,Q4,train_quartile_ecdf,14107,,,14107,4310,0.305522,0.035875,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,train,current_only,recent_var,Q1,train_quartile_ecdf,14108,,,14108,4361,0.309115,0.037668,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,train,current_only,recent_var,Q2,train_quartile_ecdf,14107,,,14107,4947,0.350677,0.038256,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,train,current_only,recent_var,Q3,train_quartile_ecdf,14107,,,14107,7742,0.548806,0.035287,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,train,current_only,recent_var,Q4,train_quartile_ecdf,14107,,,14107,5146,0.364783,0.035843,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,train,current_only,lagged_pilot_actual_ratio,NA,train_quartile_ecdf,0,,,0,0,,,,,NA,insufficient,a0_unavailable_current_only;metric_not_applicable;no_pilot_in_current_only_domain
opportunity,jpl,train,current_only,n_active_x_elapsed,1|<30,pre_existing_cross,1431,,,1447,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,1|30-59,pre_existing_cross,1000,,,1048,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,1|60-119,pre_existing_cross,2018,,,2037,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
