step_magnitude_bin,n,retention_5m_median,retention_5m_p25,retention_5m_p75
large,19,1.0,0.9991322171545222,1.0001467976413663
medium,60,0.9990620408883156,0.9859753977387926,1.0036400849712184
small,125,1.0,0.9918671943988898,1.0047261815453865
