set,lag_min,n,median,p10,p25,p75,p90,iqr,under80
primary(<1A),1,204,1.239356198428129,1.0,1.079024363802915,1.4606932251187272,1.7830410263888488,0.3816688613158121,0.0
primary(<1A),3,204,1.2253554423048234,1.0,1.0702974589979486,1.478452885533597,1.7529784574496035,0.4081554265356484,0.0
primary(<1A),5,204,1.2217672726322863,1.0,1.0783763533663069,1.4631657890930962,1.8176235153587137,0.38478943572678936,0.0
sensitivity(<2A),1,364,1.2946842011136126,1.0001769624205112,1.133191861972104,1.5535973802971177,1.876572448232561,0.4204055183250137,0.013736263736263736
sensitivity(<2A),3,364,1.2784936397137043,1.002636212206099,1.1271512561984096,1.5434162422050903,1.880439101699507,0.4162649860066807,0.005494505494505495
sensitivity(<2A),5,364,1.2812767479056903,1.0,1.1181731922634903,1.5412988361164237,1.8885677968243966,0.4231256438529334,0.008241758241758242
