,throughput_kwh,peak_kw,actions,violation_kwh,violation_count
B0,1115.1726055599727,106.79146666666657,4806.0,4875.307229295564,687.0
B1,1017.4177009665618,106.79146666666651,4354.0,4834.558771229071,656.0
B2,1017.4177009665618,106.79146666666651,4354.0,4834.558771229071,656.0
C,966.5311210180345,172.0714666666666,1232.0,4851.666993170663,692.0
